id,name,tip,icon,description,common,group,type,quality,block_max_count,can_destroy,can_sale,coin,min_level_limit,max_level_limit,level,can_use,impact,cool_down,life_time,value,script_id,param_0,param_1,function,can_multi
20123004,item_name_20123004,魔法甜面包,item_potion+icon_item_mfmb_04,item_detail_20123004,战斗外使用：5秒内恢复生命至100%。（限制55-60级使用）,2,1,4,9999,1,29910001,10,55,999,60,0,1001,5000,-1,-1,-1,-1,-1,item_function_20123004,0
20124001,item_name_20124001,经验合剂,item_potion+icon_item_jyhj,item_detail_20124001,使用：增加1000点双倍点数,3,1,4,9999,1,0,0,1,999,60,1,-1,0,-1,-1,1504,1000,-1,item_function_20124001,0
20124002,item_name_20124002,化石合剂,item_potion+icon_item_kxhj,item_detail_20124002,使用：物防+20%，同一时间只能使用一种合剂，持续12小时,3,1,4,9999,1,29910001,20000,1,999,60,1,0,5000,-1,43200,1502,20,200,item_function_20124002,0
20124003,item_name_20124003,泰坦合剂,item_potion+icon_item_nlhj,item_detail_20124003,使用：生命+20%，同一时间只能使用一种合剂，持续12小时,3,1,4,9999,1,29910001,20000,1,999,60,1,1,5000,-1,43200,1502,18,200,item_function_20124003,0
20124004,item_name_20124004,精炼智慧合剂,item_potion+icon_item_hshj,item_detail_20124004,使用：法强+20%，同一时间只能使用一种合剂，持续12小时,3,1,4,9999,1,29910001,20000,1,999,60,1,2,5000,-1,43200,1502,21,200,item_function_20124004,0
20124005,item_name_20124005,超级能量合剂,item_potion+icon_item_tthj,item_detail_20124005,使用：攻强+20%，同一时间只能使用一种合剂，持续12小时,3,1,4,9999,1,29910001,20000,1,999,60,1,3,5000,-1,43200,1502,19,200,item_function_20124005,0
20124006,item_name_20124006,多重抗性合剂,item_potion+icon_item_zhhj,item_detail_20124006,使用：法防+20%，同一时间只能使用一种合剂，持续12小时,3,1,4,9999,1,29910001,20000,1,999,60,1,4,5000,-1,43200,1502,22,200,item_function_20124006,0
20125001,item_name_20125001,初级遗迹藏宝图,item_function+icon_item_cbt_01,item_detail_20125001,司空见惯的初级遗迹藏宝图，能考古出什么谁也不知道,4,1,3,9999,1,0,0,10,999,5,1,-1,0,-1,-1,1503,2,-1,item_function_20125001,0
20125002,item_name_20125002,高级遗迹藏宝图,item_function+icon_item_cbt_02,item_detail_20125002,不同寻常的高级遗迹藏宝图，有可能考古出稀有物品,4,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1505,2,-1,item_function_20125002,0
20125011,item_name_20125011,一星魂匣,item_box+icon_item_zbx_04,item_detail_20125011,一颗心的整卡,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1506,-1,-1,item_function_20125011,0
20125012,item_name_20125012,二星魂匣,item_box+icon_item_zbx_05,item_detail_20125012,二颗星的整卡,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1507,-1,-1,item_function_20125012,0
20125013,item_name_20125013,金币首抽魂匣,item_box+icon_item_bb_02,item_detail_20125013,首次金币抽卡的整卡,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1508,-1,-1,item_function_20125013,0
20125014,item_name_20125014,二星英雄,item_box+icon_item_zbx_06,item_detail_20125014,可以随机获得一个二星英雄,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1509,-1,-1,item_function_20125014,0
20125015,item_name_20125015,进阶材料箱1,item_box+icon_item_zbx_00,item_detail_20125015,进阶用,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1510,-1,-1,item_function_20125015,0
20125016,item_name_20125016,进阶材料箱2,item_box+icon_item_zbx_01,item_detail_20125016,进阶用,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1511,-1,-1,item_function_20125016,0
20125017,item_name_20125017,进阶材料箱3,item_box+icon_item_zbx_02,item_detail_20125017,进阶用,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1512,-1,-1,item_function_20125017,0
20125018,item_name_20125018,副手武器箱1,item_box+icon_item_zbx_00,item_detail_20125018,副手武器武器,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1513,-1,-1,item_function_20125018,0
20125019,item_name_20125019,副手武器箱2,item_box+icon_item_zbx_01,item_detail_20125019,副手武器武器,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1514,-1,-1,item_function_20125019,0
20125020,item_name_20125020,副手武器箱3,item_box+icon_item_zbx_02,item_detail_20125020,副手武器武器,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1515,-1,-1,item_function_20125020,0
20125021,item_name_20125021,试炼场宝箱1,item_box+icon_item_zbx_00,item_detail_20125021,试炼场奖励的宝箱,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1516,-1,-1,item_function_20125021,0
20125022,item_name_20125022,试炼场宝箱2,item_box+icon_item_zbx_01,item_detail_20125022,试炼场奖励的宝箱,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1517,-1,-1,item_function_20125022,0
20125023,item_name_20125023,至尊一戒,equip_level_20+equip_20_zhiliao_shipin,item_detail_20125023,开局有一件好装备对战斗有很大的帮助,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1524,-1,-1,item_function_20125023,0
20125024,item_name_20125024,金币二抽魂匣,item_box+icon_item_zbx_05,item_detail_20125024,使用后可以获得英雄,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1525,-1,-1,item_function_20125024,0
20125025,item_name_20125025,白装礼包1,item_box+icon_item_zbx_00,item_detail_20125025,新手项链,-1,1,1,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1530,-1,-1,item_function_20125025,0
20125026,item_name_20125026,白装礼包2,item_box+icon_item_zbx_00,item_detail_20125026,新手帽子,-1,1,1,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1529,-1,-1,item_function_20125026,0
20125027,item_name_20125027,白装礼包3,item_box+icon_item_zbx_00,item_detail_20125027,新手护肩,-1,1,1,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1533,-1,-1,item_function_20125027,0
20125028,item_name_20125028,白装礼包4,item_box+icon_item_zbx_00,item_detail_20125028,新手戒指,-1,1,1,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1531,-1,-1,item_function_20125028,0
20125029,item_name_20125029,白装礼包5,item_box+icon_item_zbx_00,item_detail_20125029,新手护腕,-1,1,1,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1528,-1,-1,item_function_20125029,0
20125030,item_name_20125030,白装礼包6,item_box+icon_item_zbx_00,item_detail_20125030,新手鞋子,-1,1,1,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1532,-1,-1,item_function_20125030,0
20125031,item_name_20125031,附魔任务包,item_box+icon_item_zbx_00,item_detail_20125031,附魔项链,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1534,-1,-1,item_function_20125031,0
20125032,item_name_20125032,二星英雄碎片,item_box+icon_item_zbx_05,item_detail_20125032,可以随机获得10个二星英雄的魂魄,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1536,-1,-1,item_function_20125032,0
20125033,item_name_20125033,白装礼包7,item_box+icon_item_zbx_00,item_detail_20125033,新手衣服,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1537,-1,-1,item_function_20125033,0
20125034,item_name_20125034,附魔武器,icon_weapon_jian01+dsj12,item_detail_20125034,14级武器,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1538,-1,-1,item_function_20125034,0
20125035,item_name_20125035,2级宝石袋,item_box+icon_item_bsd_02,item_detail_20125035,使用后可以获得2级宝石,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1539,-1,-1,item_function_20125035,0
20125036,item_name_20125036,试炼场宝箱3,item_box+icon_item_zbx_00,item_detail_20125036,试炼场奖励的宝箱,-1,4,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1543,-1,-1,item_function_20125036,0
20125037,item_name_20125037,一星英雄魂魄,item_box+icon_item_bb_02,item_detail_20125037,可以随机获得30个一星英雄的魂魄,-1,1,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1545,-1,-1,item_function_20125037,0
20125038,item_name_20125038,二星英雄魂魄,item_box+icon_item_zbx_05,item_detail_20125038,可以随机获得50个二星英雄的魂魄,-1,1,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1546,-1,-1,item_function_20125038,0
20125039,item_name_20125039,稀有英雄魂魄,item_box+icon_item_zbx_06,item_detail_20125039,可以随机获得80个稀有三星英雄的魂魄,-1,1,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1547,-1,-1,item_function_20125039,0
20125040,item_name_20125040,40级紫色装备箱,item_box+icon_item_zbx_04,item_detail_20125040,可以随机开出35~44级的紫色装备,-1,1,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1548,-1,-1,item_function_20125040,1
20125041,item_name_20125041,超级英雄魂魄礼包,item_box+icon_item_zbx_06,item_detail_20125041,可以随机获得1个SSR品质的英雄魂魄,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1540,428,-1,item_function_20125041,1
20125042,item_name_20125042,羞花礼包,item_box+icon_item_zbx_06,item_detail_20125042,使用后有可能获得SSR英雄-羞花,-1,1,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1540,429,-1,item_function_20125042,1
20125043,item_name_20125043,物攻英雄礼包,item_box+icon_item_bb_02,item_detail_20125043,可以随机获得盗贼魂魄*20或者暗夜男魂魄*20,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1549,-1,-1,item_function_20125043,1
20125044,item_name_20125044,法攻英雄礼包,item_box+icon_item_bb_02,item_detail_20125044,可以随机获得傻馒魂魄*20或者方砖魂魄*20,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1550,-1,-1,item_function_20125044,1
20125045,item_name_20125045,三星魂魄礼包,item_box+icon_item_zbx_05,item_detail_20125045,使用后可随机获得SR品质的三星英雄魂魄*80,-1,1,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1540,430,-1,item_function_20125045,1
20125046,item_name_20125046,SSR英雄魂魄礼包,item_box+icon_item_zbx_06,item_detail_20125046,使用后可随机获得SSR品质的英雄魂魄*80,-1,1,4,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1540,431,-1,item_function_20125046,1
20125047,item_name_20125047,傻馒蓝色进阶包,item_box+icon_item_clb_05,item_detail_20125047,使用后可获得灵魂结晶*20，狂热之心*40,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1551,-1,-1,item_function_20125047,1
20125048,item_name_20125048,傻馒蓝色+1进阶包,item_box+icon_item_clb_06,item_detail_20125048,使用后可获得永恒灵魂*50，邪恶的蝙蝠眼*100,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1552,-1,-1,item_function_20125048,1
20125049,item_name_20125049,英雄魂魄礼包,item_box+icon_item_zbx_04,item_detail_20125049,使用后可获得R或者SR品质的英雄魂魄*1,-1,1,3,9999,0,0,0,1,999,10,1,-1,0,-1,-1,1540,432,-1,item_function_20125049,1
20131001,item_name_20131001,10级材料包,item_box+icon_item_clb_01,item_detail_20131001,使用后可以获得绿色进阶材料,-1,1,2,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,401,-1,item_function_20131001,1
20131002,item_name_20131002,20级材料包,item_box+icon_item_clb_02,item_detail_20131002,使用后可以获得绿色+1进阶材料,-1,1,2,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,402,-1,item_function_20131002,1
20131003,item_name_20131003,30级材料包,item_box+icon_item_clb_03,item_detail_20131003,使用后可以获得蓝色进阶材料,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,403,-1,item_function_20131003,1
20131004,item_name_20131004,40级材料包,item_box+icon_item_clb_04,item_detail_20131004,使用后可以获得蓝色+1进阶材料,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,404,-1,item_function_20131004,1
20131005,item_name_20131005,50级材料包,item_box+icon_item_clb_05,item_detail_20131005,使用后可以获得蓝色+2进阶材料,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,405,-1,item_function_20131005,1
20131006,item_name_20131006,60级材料包,item_box+icon_item_clb_06,item_detail_20131006,使用后可以获得紫色进阶材料,-1,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,406,-1,item_function_20131006,1
20131007,item_name_20131007,绿色材料进阶包,item_box+icon_item_clb_01,item_detail_20131007,使用后可以获得英雄绿色进阶相关材料,-1,1,2,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1535,8001,-1,item_function_20131007,1
20131008,item_name_20131008,蓝色材料进阶包,item_box+icon_item_clb_04,item_detail_20131008,使用后可以获得英雄蓝色进阶相关材料,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1535,8002,-1,item_function_20131008,1
20131009,item_name_20131009,主角升星材料包,item_box+icon_item_clb_06,item_detail_20131009,使用后可以获得主角升星材料,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1535,8003,-1,item_function_20131009,1
20138001,item_name_20138001,20级勇士装备箱 ,item_box+icon_item_zbx_02,item_detail_20138001,使用后可以获得15-20级的蓝色品质防具,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,412,-1,item_function_20138001,1
20138002,item_name_20138002,30级勇士装备箱 ,item_box+icon_item_zbx_03,item_detail_20138002,使用后可以获得25-30级的蓝色品质防具,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,413,-1,item_function_20138002,1
20138003,item_name_20138003,40级勇士装备箱 ,item_box+icon_item_zbx_04,item_detail_20138003,使用后可以获得35-40级的蓝色品质及以上防具,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,414,-1,item_function_20138003,1
20138004,item_name_20138004,50级勇士装备箱 ,item_box+icon_item_zbx_05,item_detail_20138004,使用后可以获得45-50级的蓝色品质及以上防具,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,415,-1,item_function_20138004,1
20138005,item_name_20138005,60级勇士装备箱 ,item_box+icon_item_zbx_06,item_detail_20138005,使用后可以获得55级的蓝色品质及以上防具,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,416,-1,item_function_20138005,1
20138006,item_name_20138006,20级勇士饰品箱 ,item_box+icon_item_zbx_02,item_detail_20138006,使用后可以获得15-20级的蓝色品质饰品,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,422,-1,item_function_20138006,1
20138007,item_name_20138007,30级勇士饰品箱 ,item_box+icon_item_zbx_03,item_detail_20138007,使用后可以获得25-30级的蓝色品质饰品,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,423,-1,item_function_20138007,1
20138008,item_name_20138008,40级勇士饰品箱 ,item_box+icon_item_zbx_04,item_detail_20138008,使用后可以获得35-40级的蓝色品质及以上饰品,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,424,-1,item_function_20138008,1
20138009,item_name_20138009,50级勇士饰品箱 ,item_box+icon_item_zbx_05,item_detail_20138009,使用后可以获得45-50级的蓝色品质及以上饰品,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,425,-1,item_function_20138009,1
20138010,item_name_20138010,60级勇士饰品箱 ,item_box+icon_item_zbx_06,item_detail_20138010,使用后可以获得55级的蓝色品质及以上饰品,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,426,-1,item_function_20138010,1
20138011,item_name_20138011,队长礼盒,item_box+icon_item_zbx_00,item_detail_20138011,队长辛勤带队给予的奖励，打开后和获得随机礼物,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1523,427,-1,item_function_20138011,1
20139001,item_name_20139001,1级宝石袋,item_box+icon_item_bsd_01,item_detail_20139001,使用后可以获得1级宝石,-1,1,2,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,316,-1,item_function_20139001,1
20139002,item_name_20139002,2级宝石袋,item_box+icon_item_bsd_02,item_detail_20139002,使用后可以获得2级宝石,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,314,-1,item_function_20139002,1
20139003,item_name_20139003,3级宝石袋,item_box+icon_item_bsd_02,item_detail_20139003,使用后可以获得3级宝石,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,317,-1,item_function_20139003,1
20139004,item_name_20139004,4级宝石袋,item_box+icon_item_bsd_02,item_detail_20139004,使用后随机获得1个四级宝石,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,318,-1,item_function_20139004,1
20139005,item_name_20139005,遗迹遗物礼包,item_box+icon_item_clb_05,item_detail_20139005,使用后获得蛛魔方尖碑、上层精灵的卷轴、魔古雕像碎片、维库符文短棒、德拉诺氏族演讲杖之一,-1,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,319,-1,item_function_20139005,1
20139006,item_name_20139006,高级遗物礼包,item_box+icon_item_clb_06,item_detail_20139006,使用后获得维库符文短棒、德拉诺氏族演讲杖之一,-1,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,320,-1,item_function_20139006,1
20139007,item_name_20139007,英雄魂魄礼包,item_box+icon_item_clb_01,item_detail_20139007,使用后，随机得到一个英雄的魂魄,-1,1,3,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1540,321,-1,item_function_20139007,1
20139008,item_name_20139008,金币幸运礼包,item_box+icon_item_lb_02,item_detail_20139008,使用后可获得50~100金币,-1,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1544,1,-1,item_function_20139008,1
20139009,item_name_20139009,魔法精华幸运礼包,item_box+icon_item_lb_03,item_detail_20139009,使用后可获得20~40个魔法精华,-1,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1544,2,-1,item_function_20139009,1
20139010,item_name_20139010,宝石幸运礼包,item_box+icon_item_lb_01,item_detail_20139010,使用后可获得1~3个3级宝石,-1,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1544,3,-1,item_function_20139010,1
20139011,item_name_20139011,助溶剂幸运礼包,item_box+icon_item_lb_04,item_detail_20139011,使用后可获得1~3个助溶剂,-1,1,4,9999,1,0,0,1,999,10,1,-1,0,-1,-1,1544,4,-1,item_function_20139011,1
20140001,item_name_20140001,大背包,item_box+icon_item_bb_01,item_detail_20140001,使用后可以扩充5格背包格子,-1,1,3,9999,1,29910001,20000,1,999,1,1,-1,0,-1,-1,1520,5,-1,item_function_20140001,0
20140002,item_name_20140002,无底包,item_box+icon_item_bb_02,item_detail_20140002,使用后可以扩充5格银行格子,-1,1,3,9999,1,29910001,20000,1,999,1,1,-1,0,-1,-1,1521,5,-1,item_function_20140002,0
20140003,item_name_20140003,修复石,item_function+icon_item_xfs,item_detail_20140003,修复装备耐久度需要这个石头,-1,1,3,9999,1,29910001,20000,1,999,1,1,-1,0,-1,-1,1518,-1,-1,item_function_20140003,0
20140004,item_name_20140004,保护卷轴,item_function+icon_item_bhjz,item_detail_20140004,使用后使自己处于保护状态，不会被其他玩家掠夺,-1,1,3,9999,1,29910001,20000,1,999,1,1,-1,0,-1,-1,1519,7200,-1,item_function_20140004,0
20140005,item_name_20140005,旅客背包,item_box+icon_item_clb_01,item_detail_20140005,使用后可以扩充5格装备格子,-1,1,3,9999,1,29910001,20000,1,999,1,1,-1,0,-1,-1,1527,5,-1,item_function_20140005,0
20230001,item_name_20230001,灵魂精华,item_function+icon_item_lhjh,item_detail_20230001,1-20级副本首领掉落（十字路口-影牙城堡）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20230001,0
20230002,item_name_20230002,灵魂结晶,item_function+icon_item_lhjj,item_detail_20230002,10-35级副本首领掉落（哀嚎洞穴-剃刀高地）,7,2,2,9999,1,29910001,10,1,999,15,0,-1,0,-1,-1,-1,-1,-1,item_function_20230002,0
20230003,item_name_20230003,永恒灵魂,item_function+icon_item_yhlh,item_detail_20230003,25~60级副本首领掉落（血色修道院-黑石塔上层），出售可获得1点日常积分,7,2,3,9999,1,29910004,1,1,999,35,0,-1,0,-1,-1,-1,-1,-1,item_function_20230003,0
20231001,item_name_20231001,断裂的狼牙,item_level_10+icon_item_dy_01,item_detail_20231001,使圣骑士职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231001,0
20231002,item_name_20231002,粗壮的熊骨,item_level_10+icon_item_dg,item_detail_20231002,使战士职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231002,0
20231003,item_name_20231003,折断的野猪獠牙,item_level_10+icon_item_ly_01,item_detail_20231003,使猎人职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231003,0
20231004,item_name_20231004,鱼人的眼球,item_level_10+icon_item_yq,item_detail_20231004,使萨满职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231004,0
20231005,item_name_20231005,豺狼人的唾液,item_level_10+icon_item_ty,item_detail_20231005,使术士职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231005,0
20231006,item_name_20231006,迅猛龙羽毛,item_level_10+icon_item_ym,item_detail_20231006,使牧师职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231006,0
20231007,item_name_20231007,厚科多兽毛,item_level_10+icon_item_hm,item_detail_20231007,使盗贼职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231007,0
20231008,item_name_20231008,龟尾,item_level_10+icon_item_gw,item_detail_20231008,使法师职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231008,0
20231009,item_name_20231009,蜕掉的蛇皮,item_level_60+icon_item_lp_02,item_detail_20231009,使德鲁伊职业进阶到绿色的兽骨，1-10级副本挂机掉落（十字路口/埃尔文森林）,7,2,1,9999,1,29910001,10,1,999,5,0,-1,0,-1,-1,-1,-1,-1,item_function_20231009,0
20231010,item_name_20231010,变色的狼心,item_level_20+icon_item_lx,item_detail_20231010,使萨满职业进阶到绿色+1的兽骨，10-20级副本挂机掉落（哀嚎洞穴/死亡矿井-影牙城堡）,7,2,2,9999,1,29910001,10,1,999,15,0,-1,0,-1,-1,-1,-1,-1,item_function_20231010,0
20231011,item_name_20231011,刺背野猪人的獠牙,item_level_20+icon_item_ly_02,item_detail_20231011,使猎人职业进阶到绿色+1的兽骨，10-20级副本挂机掉落（哀嚎洞穴/死亡矿井-影牙城堡）,7,2,2,9999,1,29910001,10,1,999,15,0,-1,0,-1,-1,-1,-1,-1,item_function_20231011,0
20231012,item_name_20231012,邪恶之爪,item_level_20+icon_item_zz_01,item_detail_20231012,使盗贼职业进阶到绿色+1的兽骨，10-20级副本挂机掉落（哀嚎洞穴/死亡矿井-影牙城堡）,7,2,2,9999,1,29910001,10,1,999,15,0,-1,0,-1,-1,-1,-1,-1,item_function_20231012,0
20231013,item_name_20231013,干涸的蝙蝠血,item_level_20+icon_item_xy,item_detail_20231013,使术士职业进阶到绿色+1的兽骨，10-20级副本挂机掉落（哀嚎洞穴/死亡矿井-影牙城堡）,7,2,2,9999,1,29910001,10,1,999,15,0,-1,0,-1,-1,-1,-1,-1,item_function_20231013,0
