id,pre_id_0,pre_id_1,pre_id_2,pre_id_3,title,icon,simple_desc,accept_desc,desc,finish_type,param_0,param_1,param_2,param_3,accept_show,type,is_open,group,open_level,count_limit,adapt_level,circle,rate,can_drop,publish_npc_id,commit_npc_id,exp,exp_rate,gold,gold_rate,package_id,roll_drop,show_reward_0,show_reward_1,show_reward_2,show_reward_3,show_reward_4,fail_text,pre_text_0,pre_action_0,pre_isnpc_0,pre_text_1,pre_action_1,pre_isnpc_1,pre_text_2,pre_action_2,pre_isnpc_2,pre_text_3,pre_action_3,pre_isnpc_3,pre_text_4,pre_action_4,pre_isnpc_4,finish_text_0,finish_action_0,finish_isnpc_0,finish_text_1,finish_action_1,finish_isnpc_1,finish_text_2,finish_action_2,finish_isnpc_2,finish_text_3,finish_action_3,finish_isnpc_3,finish_text_4,finish_action_4,finish_isnpc_4,AccecptDialogType,get_text_0,get_action_0,get_isnpc_0,get_text_1,get_action_1,get_isnpc_1,get_text_2,get_action_2,get_isnpc_2,get_text_3,get_action_3,get_isnpc_3,get_text_4,get_action_4,get_isnpc_4,animaion_pos,animation_id,other_npc_group
10004,-1,-1,-1,-1,mis_title_10004,target_reward+icon_item_zml_02,mis_sim_10004,"",mis_desc_10004,12,1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,0,1.0,0,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10004_1,-1,36120,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10004_1,-1,36120,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10005,10001,-1,-1,-1,mis_title_10005,target_reward+icon_item_zml_02,mis_sim_10005,"",mis_desc_10005,0,-1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,10106,0,1.0,0,1.0,2001,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10005_1,-1,36201,mis_pre_10005_2,-1,36205,mis_pre_10005_3,-1,0,"",-1,-1,"",-1,-1,mis_fin_10005_1,-1,36201,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10005_1,-1,0,mis_get_10005_2,-1,36201,mis_get_10005_3,-1,0,mis_get_10005_4,-1,36201,"",-1,-1,-1,-1,10133
10006,10005,-1,-1,-1,mis_title_10006,target_reward+icon_item_zml_02,mis_sim_10006,"",mis_desc_10006,7,10107,501,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,2002,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10006_1,-1,0,mis_pre_10006_2,-1,36201,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,10134
10007,10006,-1,-1,-1,mis_title_10007,target_reward+icon_item_zml_02,mis_sim_10007,"",mis_desc_10007,0,-1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,10123,0,1.0,0,1.0,2003,-1,29910008,29910001,-1,-1,-1,"","",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,mis_fin_10007_1,-1,36201,mis_fin_10007_2,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10007_1,-1,36201,mis_get_10007_2,-1,0,mis_get_10007_3,-1,36201,"",-1,-1,"",-1,-1,-1,-1,-1
10008,10007,-1,-1,-1,mis_title_10008,target_reward+icon_item_zml_02,mis_sim_10008,"",mis_desc_10008,7,10124,512,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,2004,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10008_1,-1,36202,mis_pre_10008_2,-1,36206,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10008_1,-1,36202,mis_get_10008_2,-1,36201,mis_get_10008_3,-1,36202,mis_get_10008_4,-1,36201,mis_get_10008_5,-1,0,-1,-1,10136
10009,10008,-1,-1,-1,mis_title_10009,target_reward+icon_item_zml_02,mis_sim_10009,"",mis_desc_10009,0,-1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,10108,0,1.0,0,1.0,2005,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10009_1,-1,36201,mis_pre_10009_2,-1,36202,"",-1,-1,"",-1,-1,"",-1,-1,mis_fin_10009_1,-1,36201,mis_fin_10009_2,-1,36203,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10009_1,-1,0,mis_get_10009_2,-1,36201,mis_get_10009_3,-1,36202,mis_get_10009_4,-1,36201,mis_get_10009_5,-1,0,-1,-1,10138
10010,10009,-1,-1,-1,mis_title_10010,target_reward+icon_item_zml_02,mis_sim_10010,"",mis_desc_10010,7,10109,502,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,2006,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10010_1,-1,36201,mis_pre_10010_2,-1,36204,mis_pre_10010_3,-1,36201,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10010_1,-1,36202,mis_get_10010_2,-1,36201,mis_get_10010_3,-1,36242,mis_get_10010_4,-1,0,mis_get_10010_5,-1,36201,-1,-1,10140
10011,10010,-1,-1,-1,mis_title_10011,target_reward+icon_item_zml_02,mis_sim_10011,"",mis_desc_10011,12,8,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,200,1.0,30,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10011_1,-1,36201,mis_pre_10011_2,-1,36458,mis_pre_10011_3,-1,0,mis_pre_10011_4,-1,36458,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10011_1,-1,36201,mis_get_10011_2,-1,36458,mis_get_10011_3,-1,36201,mis_get_10011_4,-1,36458,"",-1,-1,-1,-1,-1
10012,-1,-1,-1,-1,mis_title_10012,target_reward+icon_item_zml_02,mis_sim_10012,"",mis_desc_10012,9,124,2008,124,-1,0,11,1,1,-1,6,-1,0,-1,-1,-1,-1,200,1.0,30,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10012_1,-1,0,mis_pre_10012_2,-1,36458,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10013,-1,-1,-1,-1,mis_title_10013,target_reward+icon_item_zml_02,mis_sim_10013,"",mis_desc_10013,7,18888,999,124,-1,0,11,1,1,-1,6,-1,1,-1,-1,-1,-1,200,1.0,30,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10013_1,-1,36458,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10013_1,-1,0,mis_get_10013_2,-1,36459,mis_get_10013_3,-1,36460,mis_get_10013_4,-1,36458,mis_get_10013_5,-1,0,-1,-1,-1
10014,-1,-1,30004,-1,mis_title_10014,target_reward+icon_item_zml_02,mis_sim_10014,"",mis_desc_10014,12,7,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,300,1.0,52,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10014_1,-1,36354,mis_pre_10014_2,-1,0,mis_pre_10014_3,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10014_1,-1,36354,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10015,10014,-1,-1,-1,mis_title_10015,target_reward+icon_item_zml_02,mis_sim_10015,"",mis_desc_10015,12,4,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,300,1.0,52,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10015_1,-1,36120,mis_pre_10015_2,-1,36201,mis_pre_10015_3,-1,0,mis_pre_10015_4,-1,36120,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10015_1,-1,36201,mis_get_10015_2,-1,0,mis_get_10015_3,-1,36120,"",-1,-1,"",-1,-1,-1,-1,-1
10016,10015,-1,-1,-1,mis_title_10016,target_reward+icon_item_zml_02,mis_sim_10016,"",mis_desc_10016,12,5,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,400,1.0,70,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10016_1,-1,36120,mis_pre_10016_2,-1,36201,mis_pre_10016_3,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10016_1,-1,36201,mis_get_10016_2,-1,0,mis_get_10016_3,-1,36120,"",-1,-1,"",-1,-1,-1,-1,-1
10051,9952,-1,-1,-1,mis_title_10051,target_reward+icon_item_zml_02,mis_sim_10051,"",mis_desc_10051,7,10502,542,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,6000,1.0,909,1.0,2509,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10051_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10051_1,-1,36355,mis_get_10051_2,-1,0,mis_get_10051_3,-1,36355,mis_get_10051_4,-1,0,mis_get_10051_5,-1,36355,-1,-1,-1
10052,-1,-1,-1,-1,mis_title_10052,target_reward+icon_item_zml_02,mis_sim_10052,"",mis_desc_10052,12,1,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,0,0,1.0,0,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10052_1,-1,36355,mis_pre_10052_2,-1,0,mis_pre_10052_3,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10052_1,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10053,-1,-1,-1,-1,mis_title_10053,target_reward+icon_item_zml_02,mis_sim_10053,"",mis_desc_10053,7,10504,544,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10053_1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10053_1,-1,36109,mis_get_10053_2,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10054,-1,-1,-1,-1,mis_title_10054,target_reward+icon_item_zml_02,mis_sim_10054,"",mis_desc_10054,12,1,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,0,0,1.0,0,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10054_1,-1,36109,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10054_1,-1,36109,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10055,10051,-1,-1,-1,mis_title_10055,target_reward+icon_item_zml_02,mis_sim_10055,"",mis_desc_10055,7,10322,522,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,2501,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10055_1,-1,36284,mis_pre_10055_2,-1,36343,mis_pre_10055_3,-1,0,mis_pre_10055_4,-1,36343,mis_pre_10055_5,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10055_1,-1,36284,mis_get_10055_2,-1,36343,mis_get_10055_3,-1,36284,mis_get_10055_4,-1,36343,mis_get_10055_5,-1,36284,-1,-1,10376
10056,10055,-1,-1,-1,mis_title_10056,target_reward+icon_item_zml_02,mis_sim_10056,"",mis_desc_10056,0,-1,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,10323,0,1.0,0,1.0,2502,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10056_1,-1,36284,mis_pre_10056_2,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,mis_fin_10056_1,-1,36284,mis_fin_10056_2,-1,36343,mis_fin_10056_3,-1,36284,mis_fin_10056_4,-1,36343,"",-1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,10377
10057,10056,-1,-1,-1,mis_title_10057,target_reward+icon_item_zml_02,mis_sim_10057,"",mis_desc_10057,7,10324,523,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,2503,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10057_1,-1,36284,mis_pre_10057_2,-1,36343,mis_pre_10057_3,-1,0,mis_pre_10057_4,-1,36284,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10057_1,-1,36284,mis_get_10057_2,-1,36343,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,10378
10058,10057,-1,-1,-1,mis_title_10058,target_reward+icon_item_zml_02,mis_sim_10058,"",mis_desc_10058,0,-1,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,10325,0,1.0,0,1.0,2504,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10058_1,-1,36284,mis_pre_10058_2,-1,36285,"",-1,-1,"",-1,-1,"",-1,-1,mis_fin_10058_1,-1,36285,mis_fin_10058_2,-1,36284,mis_fin_10058_3,-1,36343,"",-1,-1,"",-1,-1,2,mis_get_10058_1,-1,36284,mis_get_10058_2,-1,36285,mis_get_10058_3,-1,36284,mis_get_10058_4,-1,36285,"",-1,-1,-1,-1,10380
10059,10058,-1,-1,-1,mis_title_10059,target_reward+icon_item_zml_02,mis_sim_10059,"",mis_desc_10059,0,-1,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,10326,0,1.0,0,1.0,2505,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10059_1,-1,36284,mis_pre_10059_2,-1,36343,mis_pre_10059_3,-1,36285,mis_pre_10059_4,-1,36284,"",-1,-1,mis_fin_10059_1,-1,36284,mis_fin_10059_2,-1,36285,mis_fin_10059_3,-1,0,"",-1,-1,"",-1,-1,0,mis_get_10059_1,-1,36284,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,10381
10060,10059,-1,-1,-1,mis_title_10060,target_reward+icon_item_zml_02,mis_sim_10060,"",mis_desc_10060,12,8,-1,-1,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,200,1.0,30,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10060_1,-1,36284,mis_pre_10060_2,-1,36458,mis_pre_10060_3,-1,0,mis_pre_10060_4,-1,36458,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10060_1,-1,36284,mis_get_10060_2,-1,36458,mis_get_10060_3,-1,36284,mis_get_10060_4,-1,36458,"",-1,-1,-1,-1,-1
10061,-1,-1,-1,-1,mis_title_10061,target_reward+icon_item_zml_02,mis_sim_10061,"",mis_desc_10061,9,124,2008,124,-1,0,11,1,0,-1,6,-1,0,-1,-1,-1,-1,200,1.0,30,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10061_1,-1,0,mis_pre_10061_2,-1,36458,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10062,-1,-1,-1,-1,mis_title_10062,target_reward+icon_item_zml_02,mis_sim_10062,"",mis_desc_10062,7,18888,999,124,-1,0,11,1,0,-1,6,-1,1,-1,-1,-1,-1,200,1.0,30,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10062_1,-1,36458,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10062_1,-1,0,mis_get_10062_2,-1,36459,mis_get_10062_3,-1,36460,mis_get_10062_4,-1,36458,mis_get_10062_5,-1,0,-1,-1,-1
10063,-1,-1,30055,-1,mis_title_10063,target_reward+icon_item_zml_02,mis_sim_10063,"",mis_desc_10063,12,7,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,0,300,1.0,52,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10063_1,-1,36355,mis_pre_10063_2,-1,0,mis_pre_10063_3,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10063_1,-1,36355,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,-1
10064,10063,-1,-1,-1,mis_title_10064,target_reward+icon_item_zml_02,mis_sim_10064,"",mis_desc_10064,12,4,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,0,300,1.0,52,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10064_1,-1,36109,mis_pre_10064_2,-1,36227,mis_pre_10064_3,-1,0,mis_pre_10064_4,-1,36109,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10064_1,-1,36227,mis_get_10064_2,-1,0,mis_get_10064_3,-1,36109,"",-1,-1,"",-1,-1,-1,-1,-1
10065,10064,-1,-1,-1,mis_title_10065,target_reward+icon_item_zml_02,mis_sim_10065,"",mis_desc_10065,12,5,-1,-1,-1,0,0,1,0,-1,1,-1,-1,-1,-1,-1,0,400,1.0,70,1.0,-1,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10065_1,-1,36109,mis_pre_10065_2,-1,36227,mis_pre_10065_3,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,2,mis_get_10065_1,-1,36227,mis_get_10065_2,-1,0,mis_get_10065_3,-1,36109,"",-1,-1,"",-1,-1,-1,-1,-1
10101,10016,-1,-1,-1,mis_title_10101,target_reward+icon_item_zml_02,mis_sim_10101,"",mis_desc_10101,0,-1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,10125,0,1.0,0,1.0,2011,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10101_1,-1,36211,mis_pre_10101_2,-1,36212,"",-1,-1,"",-1,-1,"",-1,-1,mis_fin_10101_1,-1,36213,mis_fin_10101_2,-1,36203,mis_fin_10101_3,-1,36242,mis_fin_10101_4,-1,36213,"",-1,-1,2,mis_get_10101_1,-1,30071,mis_get_10101_2,-1,0,mis_get_10101_3,-1,30058,mis_get_10101_4,-1,30057,"",-1,-1,-1,-1,10143
10102,10101,-1,-1,-1,mis_title_10102,target_reward+icon_item_zml_02,mis_sim_10102,"",mis_desc_10102,7,10110,503,-1,-1,0,0,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,1.0,0,1.0,2012,-1,29910008,29910001,-1,-1,-1,"",mis_pre_10102_1,-1,36211,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,0,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1,-1,-1,10147
