id,group,defence_count,cure_count,attack_count,need_defence_count,need_cure_count,need_attack_count
89,1,1,2,2,1,0,4
90,1,6,0,0,0,2,2
91,1,0,6,0,2,0,2
92,1,0,0,6,2,2,0
93,1,5,1,0,0,1,3
94,1,1,5,0,1,0,3
95,1,5,0,1,0,2,2
96,1,1,0,5,1,2,1
97,1,0,5,1,2,0,2
98,1,0,1,5,2,1,1
99,1,4,2,0,0,0,4
100,1,2,4,0,0,0,4
101,1,4,0,2,0,2,2
102,1,2,0,4,0,2,2
103,1,0,4,2,2,0,2
104,1,0,2,4,2,0,2
105,1,4,1,1,0,1,3
106,1,1,4,1,1,0,3
107,1,1,1,4,1,1,2
108,1,3,3,0,0,0,4
109,1,3,0,3,0,2,2
110,1,0,3,3,2,0,2
111,1,3,2,1,0,0,4
112,1,3,1,2,0,1,3
113,1,2,3,1,0,0,4
114,1,2,1,3,0,1,3
115,1,1,3,2,1,0,3
116,1,1,2,3,1,0,3
117,1,2,2,2,0,0,4
118,1,7,0,0,0,2,1
119,1,0,7,0,2,0,1
120,1,0,0,7,1,2,0
121,1,6,1,0,0,1,2
122,1,1,6,0,1,0,2
123,1,6,0,1,0,2,1
124,1,1,0,6,1,2,0
125,1,0,6,1,2,0,1
126,1,0,1,6,2,1,0
127,1,5,2,0,0,0,3
128,1,2,5,0,0,0,3
129,1,5,0,2,0,2,1
130,1,2,0,5,0,2,1
131,1,0,5,2,2,0,1
132,1,0,2,5,2,0,1
133,1,5,1,1,0,1,2
134,1,1,5,1,1,0,2
135,1,1,1,5,1,1,1
136,1,4,3,0,0,0,3
137,1,3,4,0,0,0,3
138,1,4,0,3,0,2,1
139,1,3,0,4,0,2,1
140,1,0,4,3,2,0,1
141,1,0,3,4,2,0,1
142,1,4,2,1,0,0,3
143,1,4,1,2,0,1,2
144,1,2,4,1,0,0,3
145,1,2,1,4,0,1,2
146,1,1,4,2,1,0,2
147,1,1,2,4,1,0,2
148,1,3,3,1,0,0,3
149,1,3,1,3,0,1,2
150,1,1,3,3,1,0,2
151,1,3,2,2,0,0,3
152,1,2,3,2,0,0,3
153,1,2,2,3,0,0,3
154,1,8,0,0,0,2,0
155,1,0,8,0,1,0,1
156,1,0,0,8,1,1,0
157,1,7,1,0,0,1,1
158,1,1,7,0,1,0,1
159,1,7,0,1,0,2,0
160,1,1,0,7,0,2,0
161,1,0,7,1,2,0,0
162,1,0,1,7,1,1,0
163,1,6,2,0,0,0,2
164,1,2,6,0,0,0,2
165,1,6,0,2,0,2,0
166,1,2,0,6,0,2,0
167,1,0,6,2,2,0,0
168,1,0,2,6,2,0,0
169,1,6,1,1,0,1,1
170,1,1,6,1,1,0,1
171,1,1,1,6,1,1,0
172,1,5,3,0,0,0,2
173,1,3,5,0,0,0,2
174,1,5,0,3,0,2,0
175,1,3,0,5,0,2,0
176,1,0,5,3,2,0,0
177,1,0,3,5,2,0,0
178,1,5,2,1,0,0,2
179,1,5,1,2,0,1,1
180,1,2,5,1,0,0,2
181,1,2,1,5,0,1,1
182,1,1,5,2,1,0,1
183,1,1,2,5,1,0,1
184,1,4,4,0,0,0,2
185,1,4,0,4,0,2,0
186,1,0,4,4,2,0,0
187,1,4,3,1,0,0,2
188,1,4,1,3,0,1,1
189,1,3,4,1,0,0,2
190,1,3,1,4,0,1,1
191,1,1,4,3,1,0,1
192,1,1,3,4,1,0,1
193,1,4,2,2,0,0,2
194,1,2,4,2,0,0,2
195,1,2,2,4,0,0,2
196,1,3,3,2,0,0,2
197,1,3,2,3,0,0,2
198,1,2,3,3,0,0,2
199,1,9,0,0,0,1,0
200,1,0,9,0,1,0,0
201,1,0,0,9,1,0,0
202,1,8,1,0,0,1,0
203,1,1,8,0,1,0,0
204,1,8,0,1,0,1,0
205,1,1,0,8,0,1,0
206,1,0,8,1,1,0,0
207,1,0,1,8,1,0,0
208,1,7,2,0,0,0,1
209,1,2,7,0,0,0,1
210,1,7,0,2,0,1,0
211,1,2,0,7,0,1,0
212,1,0,7,2,1,0,0
213,1,0,2,7,1,0,0
214,1,7,1,1,0,1,0
215,1,1,7,1,1,0,0
216,1,1,1,7,0,1,0
217,1,6,3,0,0,0,1
218,1,3,6,0,0,0,1
219,1,6,0,3,0,1,0
220,1,3,0,6,0,1,0
221,1,0,6,3,1,0,0
222,1,0,3,6,1,0,0
223,1,6,2,1,0,0,1
224,1,6,1,2,0,1,0
225,1,2,6,1,0,0,1
226,1,2,1,6,0,1,0
227,1,1,6,2,1,0,0
228,1,1,2,6,1,0,0
229,1,5,4,0,0,0,1
230,1,4,5,0,0,0,1
231,1,5,0,4,0,1,0
232,1,4,0,5,0,1,0
233,1,0,5,4,1,0,0
234,1,0,4,5,1,0,0
235,1,5,3,1,0,0,1
236,1,5,1,3,0,1,0
237,1,3,5,1,0,0,1
238,1,3,1,5,0,1,0
239,1,1,5,3,1,0,0
240,1,1,3,5,1,0,0
241,1,5,2,2,0,0,1
242,1,2,5,2,0,0,1
243,1,2,2,5,0,0,1
244,1,4,4,1,0,0,1
245,1,4,1,4,0,1,0
246,1,1,4,4,1,0,0
247,1,4,3,2,0,0,1
248,1,4,2,3,0,0,1
249,1,3,4,2,0,0,1
250,1,3,2,4,0,0,1
251,1,2,4,3,0,0,1
252,1,2,3,4,0,0,1
253,1,3,3,3,0,0,1

