id,mission_id,stage_index,main_actor_id,conditionType,conditionValue1,conditionValue2,event_type_1,npc_id_1,npc_side_1,npc_pos_1,npc_id_2,npc_side_2,npc_pos_2,eventTime,text_0,action_0,isnpc_0,text_1,action_1,isnpc_1,text_2,action_2,isnpc_2,text_3,action_3,isnpc_3,text_4,action_4,isnpc_4
27,10003,1,10126,0,10002,50,1,36349,0,14,0,0,0,1,plot_text_18_1,-1,36349,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
28,10010,1,0,0,36204,50,2,36204,0,0,0,0,0,1,plot_text_100081_1,-1,36204,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
29,10404,1,0,1,15,0,1,36241,0,14,0,0,0,1,plot_text_104041_1,-1,36245,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
30,10602,1,0,0,36263,50,2,36263,0,0,0,0,0,5,plot_text_106021_1,-1,36263,plot_text_106021_2,-1,36258,plot_text_106021_3,-1,36263,plot_text_106021_4,-1,36258,plot_text_106021_5,-1,36263
31,10603,1,0,0,36264,50,2,36264,0,0,0,0,0,1,plot_text_106031_1,-1,36264,"",-1,-1,"",-1,-1,"",-1,-1,"",-1,-1
32,10555,1,0,0,36325,50,0,0,0,0,0,0,0,0,plot_text_105551_1,-1,36325,plot_text_105551_2,-1,36320,"",-1,-1,"",-1,-1,"",-1,-1
33,10006,1,10102,0,0,99,1,36452,0,14,36453,0,15,1,plot_text_33_1,-1,36452,plot_text_33_2,-1,36453,"",-1,-1,"",-1,-1,"",-1,-1
34,10055,1,10128,0,0,99,1,36455,0,14,36456,0,15,1,plot_text_34_1,-1,36455,plot_text_34_2,-1,36456,"",-1,-1,"",-1,-1,"",-1,-1
35,10006,1,10113,0,0,99,1,36451,0,14,36452,0,15,1,plot_text_35_1,-1,36451,plot_text_35_2,-1,36452,"",-1,-1,"",-1,-1,"",-1,-1
36,10006,1,10109,0,0,99,1,36451,0,14,36453,0,15,1,plot_text_36_1,-1,36451,plot_text_36_2,-1,36453,"",-1,-1,"",-1,-1,"",-1,-1
37,10006,1,10133,0,0,99,1,36451,0,14,36452,0,15,1,plot_text_37_1,-1,36451,plot_text_37_2,-1,36452,"",-1,-1,"",-1,-1,"",-1,-1
38,10055,1,10119,0,0,99,1,36454,0,14,36456,0,15,1,plot_text_38_1,-1,36454,plot_text_38_2,-1,36456,"",-1,-1,"",-1,-1,"",-1,-1
39,10055,1,10114,0,0,99,1,36454,0,14,36456,0,15,1,plot_text_39_1,-1,36454,plot_text_39_2,-1,36456,"",-1,-1,"",-1,-1,"",-1,-1
40,10055,1,10123,0,0,99,1,36454,0,14,36456,0,15,1,plot_text_40_1,-1,36454,plot_text_40_2,-1,36456,"",-1,-1,"",-1,-1,"",-1,-1
41,10006,1,10126,0,0,99,1,36451,0,14,36452,0,15,1,plot_text_41_1,-1,36451,plot_text_41_2,-1,36452,"",-1,-1,"",-1,-1,"",-1,-1

