id,group,level,,,,,,,,,,,,battle_info.endurance,battle_info.physical_strength,battle_info.agile,battle_info.intelligence,battle_info.spirit,battle_info.hp,battle_info.physical_attack,battle_info.magic_attack,battle_info.physical_armor,battle_info.magic_armor,battle_info.critical,battle_info.toughness,battle_info.accurate,battle_info.dodge,battle_info.move_speed,battle_info.attack_speed,battle_info.skill
9,0,10,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,44,44,44,44,780,234,234,54,54,66,66,79,66,-1,-1,-1
10,0,11,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,46,46,46,46,825,248,248,58,58,72,72,86,72,-1,-1,-1
11,0,12,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73,49,49,49,49,870,261,261,61,61,78,78,94,78,-1,-1,-1
12,0,13,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77,52,52,52,52,964,289,289,72,72,84,84,101,84,-1,-1,-1
13,0,14,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81,54,54,54,54,1013,304,304,76,76,90,90,108,90,-1,-1,-1
14,0,15,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116,77,77,77,77,1418,425,425,104,104,96,96,115,96,-1,-1,-1
15,0,16,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119,79,79,79,79,1470,441,441,108,108,102,102,122,102,-1,-1,-1
16,0,17,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,123,82,82,82,82,1523,457,457,113,113,108,108,130,108,-1,-1,-1
17,0,18,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,128,85,85,85,85,1643,493,493,127,127,114,114,137,114,-1,-1,-1
18,0,19,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,131,87,87,87,87,1699,510,510,132,132,120,120,144,120,-1,-1,-1
19,0,20,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167,113,113,113,113,2399,729,729,206,206,150,150,180,150,-1,-1,-1
20,0,21,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,172,117,117,117,117,2475,751,751,212,212,156,156,187,156,-1,-1,-1
21,0,22,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177,120,120,120,120,2550,774,774,219,219,162,162,194,162,-1,-1,-1
22,0,23,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,125,125,125,125,2713,823,823,237,237,168,168,202,168,-1,-1,-1
23,0,24,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190,128,128,128,128,2793,847,847,244,244,174,174,209,174,-1,-1,-1
24,0,25,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,227,153,153,153,153,3512,1063,1063,319,319,204,204,245,204,-1,-1,-1
25,0,26,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,232,157,157,157,157,3596,1088,1088,327,327,210,210,252,210,-1,-1,-1
26,0,27,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,160,160,160,160,3679,1113,1113,334,334,216,216,259,216,-1,-1,-1
27,0,28,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,245,165,165,165,165,3868,1170,1170,356,356,222,222,266,222,-1,-1,-1
28,0,29,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,251,169,169,169,169,3955,1196,1196,365,365,228,228,274,228,-1,-1,-1
29,0,30,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276,188,188,188,188,5212,1582,1582,537,537,317,317,380,317,-1,-1,-1
30,0,31,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,282,192,192,192,192,5317,1613,1613,548,548,323,323,388,323,-1,-1,-1
31,0,32,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,288,196,196,196,196,5421,1645,1645,558,558,330,330,396,330,-1,-1,-1
32,0,33,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,294,200,200,200,200,5526,1676,1676,568,568,337,337,404,337,-1,-1,-1
33,0,34,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,204,204,204,204,5630,1707,1707,578,578,344,344,412,344,-1,-1,-1
34,0,35,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,387,262,262,262,262,6928,2097,2097,691,691,386,386,464,386,-1,-1,-1
35,0,36,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,394,267,267,267,267,7048,2133,2133,702,702,393,393,472,393,-1,-1,-1
36,0,37,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,402,272,272,272,272,7168,2169,2169,713,713,400,400,480,400,-1,-1,-1
37,0,38,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,409,277,277,277,277,7288,2205,2205,724,724,407,407,488,407,-1,-1,-1
38,0,39,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,417,282,282,282,282,7408,2241,2241,735,735,413,413,496,413,-1,-1,-1
39,0,40,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,426,290,290,290,290,8611,2611,2611,915,915,516,516,619,516,-1,-1,-1
40,0,41,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,434,295,295,295,295,8732,2647,2647,926,926,523,523,627,523,-1,-1,-1
41,0,42,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,441,300,300,300,300,8853,2684,2684,937,937,530,530,635,530,-1,-1,-1
42,0,43,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,449,305,305,305,305,8974,2720,2720,948,948,536,536,644,536,-1,-1,-1
43,0,44,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,456,310,310,310,310,9095,2756,2756,959,959,543,543,652,543,-1,-1,-1
44,0,45,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,496,338,338,338,338,10137,3079,3079,1079,1079,598,598,717,598,-1,-1,-1
45,0,46,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,503,343,343,343,343,10260,3115,3115,1090,1090,605,605,725,605,-1,-1,-1
46,0,47,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,511,348,348,348,348,10382,3152,3152,1101,1101,611,611,734,611,-1,-1,-1
47,0,48,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,518,353,353,353,353,10504,3189,3189,1113,1113,618,618,742,618,-1,-1,-1
48,0,49,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,526,358,358,358,358,10626,3225,3225,1124,1124,625,625,750,625,-1,-1,-1
49,0,50,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,611,419,419,419,419,13176,4010,4010,1428,1428,764,764,916,764,-1,-1,-1
50,0,51,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,620,425,425,425,425,13316,4052,4052,1440,1440,770,770,924,770,-1,-1,-1
51,0,52,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,629,431,431,431,431,13457,4094,4094,1453,1453,777,777,932,777,-1,-1,-1
52,0,53,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,638,437,437,437,437,13597,4136,4136,1465,1465,784,784,941,784,-1,-1,-1
53,0,54,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,647,443,443,443,443,13738,4179,4179,1477,1477,791,791,949,791,-1,-1,-1
54,0,55,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,690,476,476,476,476,15155,4624,4624,1644,1644,857,857,1029,857,-1,-1,-1
55,0,56,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,699,482,482,482,482,15298,4667,4667,1657,1657,864,864,1037,864,-1,-1,-1
56,0,57,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,708,488,488,488,488,15441,4710,4710,1669,1669,871,871,1045,871,-1,-1,-1
57,0,58,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,717,494,494,494,494,15584,4753,4753,1682,1682,878,878,1053,878,-1,-1,-1
58,0,59,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,726,500,500,500,500,15728,4796,4796,1694,1694,884,884,1061,884,-1,-1,-1
59,0,60,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,857,591,591,591,591,19855,6056,6056,2189,2189,1104,1104,1325,1104,-1,-1,-1
60,1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,5,5,5,5,135,41,41,13,13,12,12,14,12,-1,-1,-1
61,1,2,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,7,7,7,7,165,50,50,15,15,18,18,22,18,-1,-1,-1
62,1,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,9,9,9,9,195,59,59,17,17,24,24,29,24,-1,-1,-1
63,1,4,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,11,11,11,11,225,68,68,18,18,30,30,36,30,-1,-1,-1
64,1,5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,14,14,14,14,293,88,88,25,25,36,36,43,36,-1,-1,-1
65,1,6,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,16,16,16,16,323,97,97,27,27,42,42,50,42,-1,-1,-1
66,1,7,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,18,18,18,18,353,106,106,28,28,48,48,58,48,-1,-1,-1
67,1,8,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,20,20,20,20,383,115,115,30,30,54,54,65,54,-1,-1,-1
68,1,9,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33,22,22,22,22,413,124,124,31,31,60,60,72,60,-1,-1,-1
69,1,10,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,44,44,44,44,780,234,234,54,54,66,66,79,66,-1,-1,-1
70,1,11,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,46,46,46,46,825,248,248,58,58,72,72,86,72,-1,-1,-1
71,1,12,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73,49,49,49,49,870,261,261,61,61,78,78,94,78,-1,-1,-1
72,1,13,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77,52,52,52,52,964,289,289,72,72,84,84,101,84,-1,-1,-1
73,1,14,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81,54,54,54,54,1013,304,304,76,76,90,90,108,90,-1,-1,-1
74,1,15,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116,77,77,77,77,1418,425,425,104,104,96,96,115,96,-1,-1,-1
75,1,16,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119,79,79,79,79,1470,441,441,108,108,102,102,122,102,-1,-1,-1
76,1,17,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,123,82,82,82,82,1523,457,457,113,113,108,108,130,108,-1,-1,-1
77,1,18,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,128,85,85,85,85,1643,493,493,127,127,114,114,137,114,-1,-1,-1
78,1,19,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,131,87,87,87,87,1699,510,510,132,132,120,120,144,120,-1,-1,-1
79,1,20,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167,113,113,113,113,2399,729,729,206,206,150,150,180,150,-1,-1,-1
80,1,21,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,172,117,117,117,117,2475,751,751,212,212,156,156,187,156,-1,-1,-1
81,1,22,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177,120,120,120,120,2550,774,774,219,219,162,162,194,162,-1,-1,-1
82,1,23,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,125,125,125,125,2713,823,823,237,237,168,168,202,168,-1,-1,-1
83,1,24,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190,128,128,128,128,2793,847,847,244,244,174,174,209,174,-1,-1,-1
84,1,25,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,227,153,153,153,153,3512,1063,1063,319,319,204,204,245,204,-1,-1,-1
85,1,26,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,232,157,157,157,157,3596,1088,1088,327,327,210,210,252,210,-1,-1,-1
86,1,27,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,160,160,160,160,3679,1113,1113,334,334,216,216,259,216,-1,-1,-1
87,1,28,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,245,165,165,165,165,3868,1170,1170,356,356,222,222,266,222,-1,-1,-1
88,1,29,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,251,169,169,169,169,3955,1196,1196,365,365,228,228,274,228,-1,-1,-1
89,1,30,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276,188,188,188,188,5212,1582,1582,537,537,317,317,380,317,-1,-1,-1
90,1,31,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,282,192,192,192,192,5317,1613,1613,548,548,323,323,388,323,-1,-1,-1
91,1,32,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,288,196,196,196,196,5421,1645,1645,558,558,330,330,396,330,-1,-1,-1
92,1,33,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,294,200,200,200,200,5526,1676,1676,568,568,337,337,404,337,-1,-1,-1
93,1,34,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,204,204,204,204,5630,1707,1707,578,578,344,344,412,344,-1,-1,-1
94,1,35,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,387,262,262,262,262,6928,2097,2097,691,691,386,386,464,386,-1,-1,-1
95,1,36,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,394,267,267,267,267,7048,2133,2133,702,702,393,393,472,393,-1,-1,-1
96,1,37,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,402,272,272,272,272,7168,2169,2169,713,713,400,400,480,400,-1,-1,-1
97,1,38,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,409,277,277,277,277,7288,2205,2205,724,724,407,407,488,407,-1,-1,-1
98,1,39,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,417,282,282,282,282,7408,2241,2241,735,735,413,413,496,413,-1,-1,-1
99,1,40,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,426,290,290,290,290,8611,2611,2611,915,915,516,516,619,516,-1,-1,-1
100,1,41,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,434,295,295,295,295,8732,2647,2647,926,926,523,523,627,523,-1,-1,-1
101,1,42,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,441,300,300,300,300,8853,2684,2684,937,937,530,530,635,530,-1,-1,-1
102,1,43,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,449,305,305,305,305,8974,2720,2720,948,948,536,536,644,536,-1,-1,-1
103,1,44,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,456,310,310,310,310,9095,2756,2756,959,959,543,543,652,543,-1,-1,-1
104,1,45,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,496,338,338,338,338,10137,3079,3079,1079,1079,598,598,717,598,-1,-1,-1
105,1,46,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,503,343,343,343,343,10260,3115,3115,1090,1090,605,605,725,605,-1,-1,-1
106,1,47,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,511,348,348,348,348,10382,3152,3152,1101,1101,611,611,734,611,-1,-1,-1
107,1,48,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,518,353,353,353,353,10504,3189,3189,1113,1113,618,618,742,618,-1,-1,-1
108,1,49,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,526,358,358,358,358,10626,3225,3225,1124,1124,625,625,750,625,-1,-1,-1
109,1,50,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,611,419,419,419,419,13176,4010,4010,1428,1428,764,764,916,764,-1,-1,-1
110,1,51,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,620,425,425,425,425,13316,4052,4052,1440,1440,770,770,924,770,-1,-1,-1
111,1,52,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,629,431,431,431,431,13457,4094,4094,1453,1453,777,777,932,777,-1,-1,-1
112,1,53,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,638,437,437,437,437,13597,4136,4136,1465,1465,784,784,941,784,-1,-1,-1
113,1,54,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,647,443,443,443,443,13738,4179,4179,1477,1477,791,791,949,791,-1,-1,-1
114,1,55,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,690,476,476,476,476,15155,4624,4624,1644,1644,857,857,1029,857,-1,-1,-1
115,1,56,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,699,482,482,482,482,15298,4667,4667,1657,1657,864,864,1037,864,-1,-1,-1
116,1,57,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,708,488,488,488,488,15441,4710,4710,1669,1669,871,871,1045,871,-1,-1,-1
117,1,58,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,717,494,494,494,494,15584,4753,4753,1682,1682,878,878,1053,878,-1,-1,-1
118,1,59,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,726,500,500,500,500,15728,4796,4796,1694,1694,884,884,1061,884,-1,-1,-1
119,1,60,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,857,591,591,591,591,19855,6056,6056,2189,2189,1104,1104,1325,1104,-1,-1,-1
120,2,1,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,5,5,5,5,162,38,38,13,13,12,12,12,12,-1,-1,-1
121,2,2,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,7,7,7,7,198,46,46,15,15,18,18,18,18,-1,-1,-1
122,2,3,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,9,9,9,9,234,55,55,17,17,24,24,24,24,-1,-1,-1
123,2,4,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,11,11,11,11,270,63,63,18,18,30,30,30,30,-1,-1,-1
124,2,5,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,14,14,14,14,351,82,82,25,25,36,36,36,36,-1,-1,-1
125,2,6,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,16,16,16,16,387,90,90,27,27,42,42,42,42,-1,-1,-1
126,2,7,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,18,18,18,18,423,99,99,28,28,48,48,48,48,-1,-1,-1
127,2,8,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,20,20,20,20,459,107,107,30,30,54,54,54,54,-1,-1,-1
128,2,9,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33,22,22,22,22,495,116,116,31,31,60,60,60,60,-1,-1,-1
129,2,10,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,44,44,44,44,936,218,218,54,54,66,66,66,66,-1,-1,-1
130,2,11,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,46,46,46,46,990,231,231,58,58,72,72,72,72,-1,-1,-1
131,2,12,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73,49,49,49,49,1044,244,244,61,61,78,78,78,78,-1,-1,-1
132,2,13,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77,52,52,52,52,1157,270,270,72,72,84,84,84,84,-1,-1,-1
133,2,14,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81,54,54,54,54,1215,284,284,76,76,90,90,90,90,-1,-1,-1
134,2,15,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116,77,77,77,77,1701,397,397,104,104,96,96,96,96,-1,-1,-1
135,2,16,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119,79,79,79,79,1764,412,412,108,108,102,102,102,102,-1,-1,-1
136,2,17,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,123,82,82,82,82,1827,426,426,113,113,108,108,108,108,-1,-1,-1
137,2,18,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,128,85,85,85,85,1971,460,460,127,127,114,114,114,114,-1,-1,-1
138,2,19,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,131,87,87,87,87,2039,476,476,132,132,120,120,120,120,-1,-1,-1
139,2,20,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167,113,113,113,113,2879,680,680,206,206,150,150,150,150,-1,-1,-1
140,2,21,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,172,117,117,117,117,2969,701,701,212,212,156,156,156,156,-1,-1,-1
141,2,22,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177,120,120,120,120,3060,723,723,219,219,162,162,162,162,-1,-1,-1
142,2,23,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,125,125,125,125,3256,768,768,237,237,168,168,168,168,-1,-1,-1
143,2,24,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190,128,128,128,128,3351,790,790,244,244,174,174,174,174,-1,-1,-1
144,2,25,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,227,153,153,153,153,4215,992,992,319,319,204,204,204,204,-1,-1,-1
145,2,26,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,232,157,157,157,157,4315,1015,1015,327,327,210,210,210,210,-1,-1,-1
146,2,27,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,160,160,160,160,4415,1039,1039,334,334,216,216,216,216,-1,-1,-1
147,2,28,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,245,165,165,165,165,4642,1092,1092,356,356,222,222,222,222,-1,-1,-1
148,2,29,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,251,169,169,169,169,4746,1116,1116,365,365,228,228,228,228,-1,-1,-1
149,2,30,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276,188,188,188,188,6255,1477,1477,537,537,317,317,317,317,-1,-1,-1
150,2,31,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,282,192,192,192,192,6380,1506,1506,548,548,323,323,323,323,-1,-1,-1
151,2,32,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,288,196,196,196,196,6506,1535,1535,558,558,330,330,330,330,-1,-1,-1
152,2,33,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,294,200,200,200,200,6631,1564,1564,568,568,337,337,337,337,-1,-1,-1
153,2,34,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300,204,204,204,204,6756,1594,1594,578,578,344,344,344,344,-1,-1,-1
154,2,35,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,387,262,262,262,262,8314,1957,1957,691,691,386,386,386,386,-1,-1,-1
155,2,36,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,394,267,267,267,267,8458,1991,1991,702,702,393,393,393,393,-1,-1,-1
156,2,37,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,402,272,272,272,272,8602,2024,2024,713,713,400,400,400,400,-1,-1,-1
