id,name,note,desc,not,type,weapon_type,icon,res,color,level_limit,equip_level,gem_slot_count,race_limit,prof_limit,talent_limit,init_durable,suit_group_id,property_effect.skill,property_effect.endurance,property_effect.physical_strength,property_effect.agile,property_effect.intelligence,property_effect.spirit,property_effect.hp,property_effect.physical_attack,property_effect.magic_attack,property_effect.physical_armor,property_effect.magic_armor,property_effect.critical,property_effect.toughness,property_effect.accurate,property_effect.dodge,property_effect.move_speed,property_effect.attack_speed,strength_type,strength_value
10,equip_name_10,哀木涕的测试T0.5头盔,equip_detail_10,哀木涕,3,-1,equip_level_20+item_icon_01,10,1,1,20,1,0,0,0,100,2,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
11,equip_name_11,哀木涕的测试T0.5肩膀,equip_detail_11,哀木涕,4,-1,equip_level_20+item_icon_02,10,1,1,20,1,0,0,0,100,2,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
12,equip_name_12,哀木涕的测试T0.5披风,equip_detail_12,哀木涕,8,-1,equip_level_20+item_icon_06,10,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
13,equip_name_13,哀木涕的测试T0.5胸甲,equip_detail_13,哀木涕,5,-1,equip_level_20+item_icon_03,10,1,1,20,1,0,0,0,100,2,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
14,equip_name_14,哀木涕的测试T0.5护腕,equip_detail_14,哀木涕,6,-1,equip_level_20+item_icon_04,10,1,1,20,1,0,0,0,100,2,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
15,equip_name_15,哀木涕的测试T0.5鞋子,equip_detail_15,哀木涕,7,-1,equip_level_20+item_icon_05,10,1,1,20,1,0,0,0,100,2,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
16,equip_name_16,美屡的测试T2.5头盔,equip_detail_16,美屡,3,-1,equip_level_20+item_icon_01,39,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
17,equip_name_17,美屡的测试T2.5肩膀,equip_detail_17,肩膀,4,-1,equip_level_20+item_icon_02,39,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
18,equip_name_18,美屡的测试T2.5披风,equip_detail_18,披风,8,-1,equip_level_20+item_icon_06,39,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
19,equip_name_19,美屡的测试T2.5胸甲,equip_detail_19,胸,5,-1,equip_level_20+item_icon_03,39,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
20,equip_name_20,美屡的测试T2.5护腕,equip_detail_20,护腕,6,-1,equip_level_20+item_icon_04,39,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
21,equip_name_21,美屡的测试T2.5鞋子,equip_detail_21,鞋子,7,-1,equip_level_20+item_icon_05,39,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
22,equip_name_22,美屡的测试T2.5枪,equip_detail_22,枪,1,5,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
23,equip_name_23,哀木涕的测试T2剑,equip_detail_23,哀木涕,12,10,equip_level_20+item_icon_01,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
24,equip_name_24,哀木涕的测试T2盾,equip_detail_24,哀木涕,2,14,equip_level_20+item_icon_02,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
25,equip_name_25,哀木涕的测试T2头盔,equip_detail_25,哀木涕,3,-1,equip_level_20+item_icon_01,28,1,1,20,1,0,0,0,100,3,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
26,equip_name_26,哀木涕的测试T2肩膀,equip_detail_26,哀木涕,4,-1,equip_level_20+item_icon_02,28,1,1,20,1,0,0,0,100,3,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
27,equip_name_27,哀木涕的测试T2披风,equip_detail_27,哀木涕,8,-1,equip_level_20+item_icon_06,28,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
28,equip_name_28,哀木涕的测试T2胸甲,equip_detail_28,哀木涕,5,-1,equip_level_20+item_icon_03,28,1,1,20,1,0,0,0,100,3,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
29,equip_name_29,哀木涕的测试T2护腕,equip_detail_29,哀木涕,6,-1,equip_level_20+item_icon_04,28,1,1,20,1,0,0,0,100,3,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
30,equip_name_30,哀木涕的测试T2鞋子,equip_detail_30,哀木涕,7,-1,equip_level_20+item_icon_05,28,1,1,20,1,0,0,0,100,3,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
31,equip_name_31,劣人的测试T0头盔,equip_detail_31,劣人头盔,3,-1,equip_level_20+item_icon_01,3,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
32,equip_name_32,劣人的测试T0肩膀,equip_detail_32,肩膀,4,-1,equip_level_20+item_icon_02,3,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
33,equip_name_33,劣人的测试T0披风,equip_detail_33,披风,8,-1,equip_level_20+item_icon_06,3,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
34,equip_name_34,劣人的测试T0胸甲,equip_detail_34,胸,5,-1,equip_level_20+item_icon_03,3,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
35,equip_name_35,劣人的测试T0护腕,equip_detail_35,护腕,6,-1,equip_level_20+item_icon_04,3,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
36,equip_name_36,劣人的测试T0鞋子,equip_detail_36,鞋子,7,-1,equip_level_20+item_icon_05,3,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
37,equip_name_37,劣人的测试T0弓箭,equip_detail_37,弓箭,1,4,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
38,equip_name_38,劣人的测试T0.5头盔,equip_detail_38,劣人头盔,3,-1,equip_level_20+item_icon_01,12,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
39,equip_name_39,劣人的测试T0.5肩膀,equip_detail_39,肩膀,4,-1,equip_level_20+item_icon_02,12,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
40,equip_name_40,劣人的测试T0.5披风,equip_detail_40,披风,8,-1,equip_level_20+item_icon_06,12,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
41,equip_name_41,劣人的测试T0.5胸甲,equip_detail_41,胸,5,-1,equip_level_20+item_icon_03,12,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
42,equip_name_42,劣人的测试T0.5护腕,equip_detail_42,护腕,6,-1,equip_level_20+item_icon_04,12,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
43,equip_name_43,劣人的测试T0.5鞋子,equip_detail_43,鞋子,7,-1,equip_level_20+item_icon_05,12,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
44,equip_name_44,劣人的测试T0.5弓箭,equip_detail_44,弓箭,1,4,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
45,equip_name_45,呆贼的测试T0头盔,equip_detail_45,呆贼头盔,3,-1,equip_level_20+item_icon_01,5,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
46,equip_name_46,呆贼的测试T0肩膀,equip_detail_46,肩膀,4,-1,equip_level_20+item_icon_02,5,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
47,equip_name_47,呆贼的测试T0披风,equip_detail_47,披风,8,-1,equip_level_20+item_icon_06,5,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
48,equip_name_48,呆贼的测试T0胸甲,equip_detail_48,胸,5,-1,equip_level_20+item_icon_03,5,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
49,equip_name_49,呆贼的测试T0护腕,equip_detail_49,护腕,6,-1,equip_level_20+item_icon_04,5,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
50,equip_name_50,呆贼的测试T0鞋子,equip_detail_50,鞋子,7,-1,equip_level_20+item_icon_05,5,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
51,equip_name_51,呆贼的测试T0匕首,equip_detail_51,匕首,12,9,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
52,equip_name_52,呆贼的测试T0.5头盔,equip_detail_52,呆贼头盔,3,-1,equip_level_20+item_icon_01,14,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
53,equip_name_53,呆贼的测试T0.5肩膀,equip_detail_53,肩膀,4,-1,equip_level_20+item_icon_02,14,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
54,equip_name_54,呆贼的测试T0.5披风,equip_detail_54,披风,8,-1,equip_level_20+item_icon_06,14,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
55,equip_name_55,呆贼的测试T0.5胸甲,equip_detail_55,胸,5,-1,equip_level_20+item_icon_03,14,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
56,equip_name_56,呆贼的测试T0.5护腕,equip_detail_56,护腕,6,-1,equip_level_20+item_icon_04,14,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
57,equip_name_57,呆贼的测试T0.5鞋子,equip_detail_57,鞋子,7,-1,equip_level_20+item_icon_05,14,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
58,equip_name_58,呆贼的测试T0.5匕首,equip_detail_58,匕首,12,9,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
59,equip_name_59,沐丝的测试T2头盔,equip_detail_59,沐丝头盔,3,-1,equip_level_20+item_icon_01,36,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
60,equip_name_60,沐丝的测试T2肩膀,equip_detail_60,肩膀,4,-1,equip_level_20+item_icon_02,36,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
61,equip_name_61,沐丝的测试T2披风,equip_detail_61,披风,8,-1,equip_level_20+item_icon_06,36,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
62,equip_name_62,沐丝的测试T2胸甲,equip_detail_62,胸,5,-1,equip_level_20+item_icon_03,36,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
63,equip_name_63,沐丝的测试T2护腕,equip_detail_63,护腕,6,-1,equip_level_20+item_icon_04,36,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
64,equip_name_64,沐丝的测试T2鞋子,equip_detail_64,鞋子,7,-1,equip_level_20+item_icon_05,36,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
65,equip_name_65,沐丝的测试T2法杖,equip_detail_65,法杖,1,6,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
66,equip_name_66,沐丝的测试T1头盔,equip_detail_66,沐丝头盔,3,-1,equip_level_20+item_icon_01,27,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
67,equip_name_67,沐丝的测试T1肩膀,equip_detail_67,肩膀,4,-1,equip_level_20+item_icon_02,27,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
68,equip_name_68,沐丝的测试T1披风,equip_detail_68,披风,8,-1,equip_level_20+item_icon_06,27,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
69,equip_name_69,沐丝的测试T1胸甲,equip_detail_69,胸,5,-1,equip_level_20+item_icon_03,27,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
70,equip_name_70,沐丝的测试T1护腕,equip_detail_70,护腕,6,-1,equip_level_20+item_icon_04,27,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
71,equip_name_71,沐丝的测试T1鞋子,equip_detail_71,鞋子,7,-1,equip_level_20+item_icon_05,27,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
72,equip_name_72,沐丝的测试T1法杖,equip_detail_72,法杖,1,6,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
73,equip_name_73,暗夜男的测试T0头盔,equip_detail_73,暗夜男头盔,3,-1,equip_level_20+item_icon_01,1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
74,equip_name_74,暗夜男的测试T0肩膀,equip_detail_74,肩膀,4,-1,equip_level_20+item_icon_02,1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
75,equip_name_75,暗夜男的测试T0披风,equip_detail_75,披风,8,-1,equip_level_20+item_icon_06,1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
76,equip_name_76,暗夜男的测试T0胸甲,equip_detail_76,胸,5,-1,equip_level_20+item_icon_03,1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
77,equip_name_77,暗夜男的测试T0护腕,equip_detail_77,护腕,6,-1,equip_level_20+item_icon_04,1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
78,equip_name_78,暗夜男的测试T0鞋子,equip_detail_78,鞋子,7,-1,equip_level_20+item_icon_05,1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
79,equip_name_79,暗夜男的测试T0双手斧,equip_detail_79,弓箭,1,1,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
80,equip_name_80,暗夜男的测试T1头盔,equip_detail_80,暗夜男头盔,3,-1,equip_level_20+item_icon_01,19,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
81,equip_name_81,暗夜男的测试T1肩膀,equip_detail_81,肩膀,4,-1,equip_level_20+item_icon_02,19,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
82,equip_name_82,暗夜男的测试T1披风,equip_detail_82,披风,8,-1,equip_level_20+item_icon_06,19,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
83,equip_name_83,暗夜男的测试T1胸甲,equip_detail_83,胸,5,-1,equip_level_20+item_icon_03,19,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
84,equip_name_84,暗夜男的测试T1护腕,equip_detail_84,护腕,6,-1,equip_level_20+item_icon_04,19,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
85,equip_name_85,暗夜男的测试T1鞋子,equip_detail_85,鞋子,7,-1,equip_level_20+item_icon_05,19,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
86,equip_name_86,暗夜男的测试T1双手斧,equip_detail_86,双手斧,1,1,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
87,equip_name_87,傻馒的测试T0单手斧,equip_detail_87,傻馒,12,7,equip_level_20+item_icon_01,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
88,equip_name_88,傻馒的测试T0盾,equip_detail_88,傻馒,2,14,equip_level_20+item_icon_02,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
89,equip_name_89,傻馒的测试T0头盔,equip_detail_89,傻馒,3,-1,equip_level_20+item_icon_01,4,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
90,equip_name_90,傻馒的测试T0肩膀,equip_detail_90,傻馒,4,-1,equip_level_20+item_icon_02,4,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
91,equip_name_91,傻馒的测试T0披风,equip_detail_91,傻馒,8,-1,equip_level_20+item_icon_06,4,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
92,equip_name_92,傻馒的测试T0胸甲,equip_detail_92,傻馒,5,-1,equip_level_20+item_icon_03,4,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
93,equip_name_93,傻馒的测试T0护腕,equip_detail_93,傻馒,6,-1,equip_level_20+item_icon_04,4,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
94,equip_name_94,傻馒的测试T0鞋子,equip_detail_94,傻馒,7,-1,equip_level_20+item_icon_05,4,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
95,equip_name_95,傻馒的测试T0.5单手斧,equip_detail_95,傻馒,12,7,equip_level_20+item_icon_01,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
96,equip_name_96,傻馒的测试T0.5盾,equip_detail_96,傻馒,2,14,equip_level_20+item_icon_02,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
97,equip_name_97,傻馒的测试T0.5头盔,equip_detail_97,傻馒,3,-1,equip_level_20+item_icon_01,13,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
98,equip_name_98,傻馒的测试T0.5肩膀,equip_detail_98,傻馒,4,-1,equip_level_20+item_icon_02,13,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
99,equip_name_99,傻馒的测试T0.5披风,equip_detail_99,傻馒,8,-1,equip_level_20+item_icon_06,13,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
100,equip_name_100,傻馒的测试T0.5胸甲,equip_detail_100,傻馒,5,-1,equip_level_20+item_icon_03,13,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
101,equip_name_101,傻馒的测试T0.5护腕,equip_detail_101,傻馒,6,-1,equip_level_20+item_icon_04,13,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
102,equip_name_102,傻馒的测试T0.5鞋子,equip_detail_102,傻馒,7,-1,equip_level_20+item_icon_05,13,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
103,equip_name_103,傻馒的测试T1单手斧,equip_detail_103,傻馒,12,7,equip_level_20+item_icon_01,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
104,equip_name_104,傻馒的测试T1盾,equip_detail_104,傻馒,2,14,equip_level_20+item_icon_02,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
105,equip_name_105,傻馒的测试T1头盔,equip_detail_105,傻馒,3,-1,equip_level_20+item_icon_01,22,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
106,equip_name_106,傻馒的测试T1肩膀,equip_detail_106,傻馒,4,-1,equip_level_20+item_icon_02,22,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
107,equip_name_107,傻馒的测试T1披风,equip_detail_107,傻馒,8,-1,equip_level_20+item_icon_06,22,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
108,equip_name_108,傻馒的测试T1胸甲,equip_detail_108,傻馒,5,-1,equip_level_20+item_icon_03,22,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
109,equip_name_109,傻馒的测试T1护腕,equip_detail_109,傻馒,6,-1,equip_level_20+item_icon_04,22,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
110,equip_name_110,傻馒的测试T1鞋子,equip_detail_110,傻馒,7,-1,equip_level_20+item_icon_05,22,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
111,equip_name_111,呆贼的测试T0匕首,equip_detail_111,匕首,12,9,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
112,equip_name_112,呆贼的测试T0.5匕首,equip_detail_112,匕首,12,9,equip_level_20+item_icon_06,-1,1,1,20,1,0,0,0,100,-1,-1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,0,0,hp,10.0
