id,name,note,description,,client_res_id,monster_class,icon,resource,scale,radius,life_time,npc_type,monster_type,rage_time,level,attack_type,display_type,adapt_group,,,,,,,,,,,,,,,exp_drop,gold_drop,battle_info.endurance,battle_info.physical_strength,battle_info.agile,battle_info.intelligence,battle_info.spirit,battle_info.hp,battle_info.physical_attack,battle_info.magic_attack,battle_info.physical_armor,battle_info.magic_armor,battle_info.critical,battle_info.toughness,battle_info.accurate,battle_info.dodge,battle_info.move_speed,battle_info.attack_speed,battle_info.skill,ai_strategy,skill_ids_0,skill_ids_1,skill_ids_2,skill_ids_3,skill_ids_4,skill_ids_5,skill_ids_6,skill_ids_7,skill_ids_8,skill_ids_9,MainWeapon,ViceWeapon,Helmet,Shoulder,Chest,Manteau,Arm,Shoe
30009,monster_name_30009,仙女龙,"","",30009,30009,monster_head_10+monster_head_xiannvlong,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,66,66,20,20,6,6,6,6,4000,4000,-1,-1,210080,210081,210082,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30010,monster_name_30010,熊灵,"","",30010,30010,monster_head_10+monster_head_xiong,NULL,1.0,1.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1600,80,80,33,33,6,6,6,6,4000,4000,-1,-1,210090,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30011,monster_name_30011,熊,"","",30011,30011,monster_head_10+monster_head_xiong,NULL,1.0,1.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1600,80,80,33,33,6,6,6,6,4000,4000,-1,-1,210100,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30012,monster_name_30012,白狼,"","",30012,30012,monster_head_10+monster_head_lang,NULL,1.0,1.0,30000,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1600,80,80,33,33,10,6,6,6,4000,4000,-1,-1,210110,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30013,monster_name_30013,灰狼,"","",30013,30013,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1600,80,80,33,33,10,6,6,6,4000,4000,-1,-1,210120,210122,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30014,monster_name_30014,紫狼,"","",30014,30014,monster_head_10+monster_head_lang,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1600,80,80,33,33,10,6,6,6,4000,4000,-1,-1,210130,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30015,monster_name_30015,迅猛龙,"","",30015,30015,monster_head_10+monster_head_xunmenglong,NULL,1.0,1.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1600,80,80,33,33,10,6,6,6,4000,4000,-1,-1,210140,210141,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30016,monster_name_30016,绿色小软,"","",30016,30016,monster_head_10+monster_head_ruanniguai,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1600,80,80,33,33,10,6,6,6,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30017,monster_name_30017,召唤图腾,"","",30017,30017,monster_head_10+monster_head_dulong,NULL,1.0,0.5,30000,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,666,66,66,33,33,10,6,6,6,0,4000,-1,-1,200090,200092,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30018,monster_name_30018,阿鲁高,"","",30018,30018,monster_head_10+monster_head_tongkushushialugao,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,3600,100,100,30,30,6,6,6,6,4000,4000,-1,-1,210180,210181,210182,210183,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30019,monster_name_30019,大囧龟,"","",30019,30019,monster_head_10+monster_head_dajungui,NULL,1.0,1.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,120,120,50,50,6,6,6,6,4000,4000,-1,-1,210190,210191,210195,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30020,monster_name_30020,尖刺鞭挞者,"","",30020,30020,monster_head_10+monster_head_jiancibiandazhe,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,120,120,50,50,6,6,6,6,4000,4000,-1,-1,210200,210201,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30021,monster_name_30021,加塞瑞拉,"","",30021,30021,monster_head_10+monster_head_jiasairuila,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,120,120,50,50,10,6,6,6,4000,4000,-1,-1,210210,210211,210210,210213,210214,-1,-1,-1,-1,-1,"","","","","","","",""
30022,monster_name_30022,勋爵沃登,"","",30022,30022,monster_head_10+monster_head_xunjuewodeng,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,120,120,50,50,10,6,6,6,4000,4000,-1,-1,210220,210221,210222,210223,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30023,monster_name_30023,永生者,"","",30023,30023,monster_head_10+monster_head_yongshengzhe,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,120,120,50,50,10,6,6,6,4000,4000,-1,-1,210230,210231,210232,210233,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30024,monster_name_30024,指挥官,"","",30024,30024,monster_head_10+monster_head_zhihuiguan,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,120,120,50,50,10,6,6,6,4000,4000,-1,-1,210240,210241,210242,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30025,monster_name_30025,中奶怀特,"","",30025,30025,monster_head_10+monster_head_zhongnaihuaite,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,2400,120,120,50,50,10,6,6,6,4000,4000,-1,-1,210250,210251,210252,210253,210254,-1,-1,-1,-1,-1,"","","","","","","",""
30026,monster_name_30026,莫格莱恩,"","",30026,30026,monster_head_10+monster_head_mogelaien,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210260,210261,210262,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30027,monster_name_30027,奥法师二,"","",30027,30027,monster_head_10+monster_head_aofashi2,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210270,210271,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30028,monster_name_30028,野猪人萨满,"","",30028,30028,monster_head_10+monster_head_yezhurensaman,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210281,210282,210433,210435,210436,-1,-1,-1,-1,-1,"","","","","","","",""
30029,monster_name_30029,野猪人守卫,"","",30029,30029,monster_head_10+monster_head_yezhurenshouwei,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210290,210291,210292,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30030,monster_name_30030,训犬人,"","",30030,30030,monster_head_10+monster_head_xunquanren,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210300,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30031,monster_name_30031,血犬,"","",30031,30031,monster_head_10+monster_head_xuequan,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210310,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30032,monster_name_30032,寒冰王子,"","",30032,30032,monster_head_10+monster_head_hanbingwangzi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210320,210321,210322,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30033,monster_name_30033,暴食者,"","",30033,30033,monster_head_10+monster_head_baoshizhe,NULL,1.0,0.8,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210330,210331,210332,210333,210334,210335,210336,-1,-1,-1,"","","","","","","",""
30034,monster_name_30034,旋风男,"","",30034,30034,monster_head_10+monster_head_xuanfengnan,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210340,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30035,monster_name_30035,小骷髅,"","",30035,30035,monster_head_10+monster_head_kulou,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210350,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30036,monster_name_30036,地精,"","",30036,30036,monster_head_10+monster_head_dijing,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210360,210361,210362,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30037,monster_name_30037,蚂蚁王,"","",30037,30037,monster_head_10+monster_head_mayiwang,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210370,210371,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30038,monster_name_30038,水晶之牙,"","",30038,30038,monster_head_10+monster_head_shuijingzhiya,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210380,210381,210382,210383,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30039,monster_name_30039,野猪人萨满2,"","",30039,30039,monster_head_10+monster_head_yezhurensaman,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210281,210282,-1,-1,-1,-1,-1,-1,-1,-1,res/model/shaman_t1.model+rightweapon,"",res/model/lieren_t0.model,res/model/anyenan_t0.5.model,"","","",""
30040,monster_name_30040,小鱼人蓝色,"","",30040,10005,monster_head_10+monster_head_xiaoyuren,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,12,12,2,2,6,6,6,6,4000,4000,-1,-1,210401,210405,210406,210407,210408,210411,-1,-1,-1,-1,"","","","","","","",""
30041,monster_name_30041,小鱼人绿色,"","",30041,10005,monster_head_10+monster_head_xiaoyuren,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,12,12,2,2,6,6,6,6,4000,4000,-1,-1,200050,200051,200052,200053,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30042,monster_name_30042,迅猛龙-蓝色,"","",30042,30015,monster_head_10+monster_head_xunmenglong,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,666,66,66,33,33,10,6,6,6,4000,4000,-1,-1,210150,210151,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30043,monster_name_30043,钢鬃地卜师-黄色,"","",30043,30028,monster_head_10+monster_head_yezhurensaman,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210430,210431,210432,-1,-1,-1,-1,-1,-1,-1,res/model/jiaohua_50.model+leftweapon,"","","","","","",""
30044,monster_name_30044,钢鬃地卜师-绿色,"","",30044,30028,monster_head_10+monster_head_yezhurenshouwei,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210430,210431,210432,-1,-1,-1,-1,-1,-1,-1,res/model/jiaohua_50.model+leftweapon,"","","","","","",""
30045,monster_name_30045,钢鬃地卜师-红色,"","",30045,30028,monster_head_10+monster_head_yezhurensaman,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210430,210431,210432,-1,-1,-1,-1,-1,-1,-1,res/model/jiaohua_20.model+leftweapon,"","","","","","",""
30051,monster_name_30051,亡灵,"","",30001,30051,monster_head_10+monster_head_wangling,NULL,0.5,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,400,10,10,2,2,6,6,6,6,4000,4000,-1,-1,210000,210001,210002,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30052,monster_name_30052,奥法师,"","",30002,30052,monster_head_10+monster_head_aofashi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,10,10,2,2,6,6,6,6,4000,4000,-1,-1,210011,210012,210010,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30053,monster_name_30053,狼王,"","",30003,30053,monster_head_10+monster_head_langwang,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,800,15,15,2,2,6,6,6,6,4000,4000,-1,-1,210020,210021,210022,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30054,monster_name_30054,伐木机,"","",30004,30054,monster_head_10+monster_head_famuji,NULL,1.0,1.0,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,20,20,2,2,6,6,6,6,4000,4000,-1,-1,210030,210033,210036,210042,210045,-1,-1,-1,-1,-1,"","","","","","","",""
30055,monster_name_30055,菲迪亚法师,"","",30005,30055,monster_head_10+monster_head_feidiyafashi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,400,10,10,2,2,6,6,6,6,4000,4000,-1,-1,210040,210041,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30056,monster_name_30056,皮萨斯,"","",30006,30056,monster_head_10+monster_head_pisasi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,12,12,2,2,6,6,6,6,4000,4000,-1,-1,210050,210051,210052,210053,210054,-1,-1,-1,-1,-1,"","","","","","","",""
30057,monster_name_30057,傻馒,"","",10009,30057,player_head_ka+player_head_ka_shaman,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,200090,200091,200092,200093,200094,-1,-1,-1,-1,-1,"","","","","","","",""
30058,monster_name_30058,MT,"","",10002,30058,player_head_ka+player_head_ka_mt,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,200020,200021,200022,200023,200024,-1,-1,-1,-1,-1,"","","","","","","",""
30059,monster_name_30059,达拉尔·道恩维沃尔,"","",30022,30063,monster_head_10+monster_head_xunjuewodeng,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,10,10,2,2,6,6,6,6,4000,4000,-1,-1,210220,210221,210222,210223,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30060,monster_name_30060,看守者贝尔杜加,"","",30002,30064,monster_head_10+monster_head_aofashi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,800,15,15,2,2,6,6,6,6,4000,4000,-1,-1,210011,210012,210010,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30061,monster_name_30061,高级执行官哈德瑞克,"","",30035,30065,monster_head_10+monster_head_kulou,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,20,20,2,2,6,6,6,6,4000,4000,-1,-1,210350,-1,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30062,monster_name_30062,暗夜男,"","",10005,30061,player_head_ka+player_head_ka_anyenan,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,12,12,2,2,6,6,6,6,4000,4000,-1,-1,200050,200051,200052,200053,200054,-1,-1,-1,-1,-1,res/model/anyenan_t1.model+rightweapon,"","","","","","",""
30063,monster_name_30063,大小姐,"","",10028,30062,player_head_ka+player_head_ka_daxiaojie,NULL,0.5,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,400,10,10,2,2,6,6,6,6,4000,4000,-1,-1,200280,200281,200282,200283,200284,-1,-1,-1,-1,-1,"","","","","","","",""
30064,monster_name_30064,药剂师伦弗利尔,"","",30005,30067,monster_head_10+monster_head_feidiyafashi,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,600,12,12,2,2,6,6,6,6,4000,4000,-1,-1,210040,210041,-1,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
30065,monster_name_30065,阿鲁高之子,"","",30003,30059,monster_head_10+monster_head_langwang,NULL,1.0,0.5,0,1,1,0,1,1,-1,-1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1000,100,100,50,50,10,6,6,6,4000,4000,-1,-1,210020,210021,210022,-1,-1,-1,-1,-1,-1,-1,"","","","","","","",""
