index,type,common,question,common_0,option_0,common_1,option_1,common_2,option_2,common_3,option_3,weight
44,剧情,攻打南海镇的时候，哀木涕把谁认为是怂包？,tex_quest_44,飞行管理员,tex_opt0_44,亡灵女将领,tex_opt1_44,亡灵守卫,tex_opt2_44,镇长,tex_opt3_44,100
45,剧情,哀木涕坚持把兄弟会之剑分给谁？,tex_quest_45,劣人,tex_opt0_45,呆贼,tex_opt1_45,沐丝,tex_opt2_45,傻馒,tex_opt3_45,100
46,剧情,劣人跟呆贼插旗PK，结果是什么？,tex_quest_46,劣人因误冰冻野猪，最终被野猪拱死,tex_opt0_46,劣人满血战胜呆贼,tex_opt1_46,平局,tex_opt2_46,呆贼满血战胜劣人,tex_opt3_46,100
47,剧情,劣人在树上写下的字是什么？,tex_quest_47,劣人倒雌1油,tex_opt0_47,美屡我爱你,tex_opt1_47,亲爱的,tex_opt2_47,美屡我们生兽人吧,tex_opt3_47,100
48,剧情,奥山战场中，谁曾经站在冰雪之王的肩上？,tex_quest_48,美屡,tex_opt0_48,炮姐,tex_opt1_48,傻馒,tex_opt2_48,沐丝,tex_opt3_48,100
49,剧情,宝箱争夺战中，谁最终获胜？,tex_quest_49,哀木涕,tex_opt0_49,劣人,tex_opt1_49,呆贼,tex_opt2_49,傻馒,tex_opt3_49,100
50,剧情,劣人曾如何形容美屡？,tex_quest_50,屁股大胸部小,tex_opt0_50,屁股大胸部大,tex_opt1_50,屁股小胸部小,tex_opt2_50,屁股小胸部大,tex_opt3_50,100
51,剧情,哀木涕在做帕米拉任务的时候喝了一瓶什么？,tex_quest_51,冬泉火酒,tex_opt0_51,敌敌畏,tex_opt1_51,二锅头,tex_opt2_51,威士忌,tex_opt3_51,100
52,剧情,劣人单刷了多少次厄运？,tex_quest_52,31232,tex_opt0_52,25,tex_opt1_52,33333,tex_opt2_52,4958,tex_opt3_52,100
53,剧情,娇花曾经用召唤仪式拉哀木涕的时候，哀木涕穿的是什么?,tex_quest_53,只穿了一条内裤,tex_opt0_53,血色套装,tex_opt1_53,尖牙套装,tex_opt2_53,什么都没穿,tex_opt3_53,100
54,剧情,方砖第一次死后坟头上写的是什么？,tex_quest_54,第一滴血,tex_opt0_54,永垂不朽,tex_opt1_54,永远活在心中,tex_opt2_54,安息吧,tex_opt3_54,100
55,剧情,以下哪位曾经是通过砍怪升级的？,tex_quest_55,炮姐,tex_opt0_55,桶牛,tex_opt1_55,冬,tex_opt2_55,老相好,tex_opt3_55,100
56,剧情,哀木涕鼻环上写的是什么字？,tex_quest_56,牛麻子制造,tex_opt0_56,made in china,tex_opt1_56,牛犊子鼻环,tex_opt2_56,牛牛向前冲,tex_opt3_56,100
57,剧情,大小姐曾经无敌炉石后给方砖留下一封信，信中写的什么？,tex_quest_57,我炉石我自豪大小姐绝笔,tex_opt0_57,你好再见,tex_opt1_57,？！,tex_opt2_57,世界那么大，我想去看看,tex_opt3_57,100
101,字谜,前账未清再度赊，打一字,tex_quest_101,欢,tex_opt0_101,赚,tex_opt1_101,赔,tex_opt2_101,钱,tex_opt3_101,100
102,字谜,大脚丫，打一字,tex_quest_102,距,tex_opt0_102,足,tex_opt1_102,趋,tex_opt2_102,跨,tex_opt3_102,100
103,字谜,伸一半缩一半，打一字,tex_quest_103,绅,tex_opt0_103,短,tex_opt1_103,凹,tex_opt2_103,凸,tex_opt3_103,100
104,字谜,王者之道，打一字,tex_quest_104,璐,tex_opt0_104,圣,tex_opt1_104,皇,tex_opt2_104,霸,tex_opt3_104,100
105,字谜,头顶长胸的女子，打一字,tex_quest_105,婆,tex_opt0_105,怪,tex_opt1_105,妖,tex_opt2_105,仙,tex_opt3_105,100
106,字谜,东边我的美人，西边黄河流，打一字,tex_quest_106,汝,tex_opt0_106,何,tex_opt1_106,如,tex_opt2_106,艺,tex_opt3_106,100
107,字谜,一二三五，打一字,tex_quest_107,罢,tex_opt0_107,四,tex_opt1_107,却,tex_opt2_107,丢,tex_opt3_107,100
108,字谜,上边像羊下边像牛，打一字,tex_quest_108,羞,tex_opt0_108,丑,tex_opt1_108,地,tex_opt2_108,邮,tex_opt3_108,100
109,字谜,一点一横长，一撇到南洋，三只小老鼠，共躺一张床，打一字,tex_quest_109,应,tex_opt0_109,番,tex_opt1_109,离,tex_opt2_109,倒,tex_opt3_109,100
110,字谜,二人同工，打一字,tex_quest_110,巫,tex_opt0_110,干,tex_opt1_110,土,tex_opt2_110,分,tex_opt3_110,100
111,字谜,一字两个月，不可猜作朋，打一字,tex_quest_111,用,tex_opt0_111,目,tex_opt1_111,鹏,tex_opt2_111,旦,tex_opt3_111,100
112,字谜,一只黑狗，不叫不吼，打一字,tex_quest_112,默,tex_opt0_112,紫,tex_opt1_112,想,tex_opt2_112,草,tex_opt3_112,100
113,字谜,差一点六斤，打一字,tex_quest_113,兵,tex_opt0_113,吨,tex_opt1_113,克,tex_opt2_113,两,tex_opt3_113,100
114,字谜,男人的世界，打一字,tex_quest_114,妩,tex_opt0_114,娱,tex_opt1_114,基,tex_opt2_114,给,tex_opt3_114,100
115,字谜,眼看田上长青草，打一字,tex_quest_115,瞄,tex_opt0_115,瞅,tex_opt1_115,睛,tex_opt2_115,绿,tex_opt3_115,100
116,字谜,点点成金，打一字,tex_quest_116,全,tex_opt0_116,兲,tex_opt1_116,天,tex_opt2_116,玉,tex_opt3_116,100
117,字谜,一箭穿心，打一字,tex_quest_117,必,tex_opt0_117,爱,tex_opt1_117,丘,tex_opt2_117,丰,tex_opt3_117,100
118,字谜,喜上眉头，打一字,tex_quest_118,声,tex_opt0_118,眭,tex_opt1_118,户,tex_opt2_118,眊,tex_opt3_118,100
119,字谜,一住京中三十载，打一字,tex_quest_119,草,tex_opt0_119,景,tex_opt1_119,日,tex_opt2_119,卅,tex_opt3_119,100
120,字谜,看见大姐二姐小姐，没看见三姐，打一字,tex_quest_120,奈,tex_opt0_120,余,tex_opt1_120,茶,tex_opt2_120,荼,tex_opt3_120,100
121,字谜,十月十日听潮声，打一字,tex_quest_121,朝,tex_opt0_121,萌,tex_opt1_121,草,tex_opt2_121,明,tex_opt3_121,100
122,字谜,出一半有何不可，打一字,tex_quest_122,仙,tex_opt0_122,岩,tex_opt1_122,中,tex_opt2_122,丕,tex_opt3_122,100
123,字谜,千里挑一，百里挑一，打一字,tex_quest_123,伯,tex_opt0_123,精,tex_opt1_123,二,tex_opt2_123,十,tex_opt3_123,100
124,字谜,座中无人，打一字,tex_quest_124,庄,tex_opt0_124,空,tex_opt1_124,广,tex_opt2_124,丛,tex_opt3_124,100
125,字谜,招手不见走来，打一字,tex_quest_125,超,tex_opt0_125,倔,tex_opt1_125,逑,tex_opt2_125,过,tex_opt3_125,100
126,字谜,站在一旁请不要说话，打一字,tex_quest_126,靖,tex_opt0_126,静,tex_opt1_126,默,tex_opt2_126,嘘,tex_opt3_126,100
127,字谜,有头缺只脚，打一字,tex_quest_127,右,tex_opt0_127,大,tex_opt1_127,瘸,tex_opt2_127,跛,tex_opt3_127,100
128,字谜,不加口是一口，加一口是九口，打一字,tex_quest_128,井,tex_opt0_128,田,tex_opt1_128,目,tex_opt2_128,十,tex_opt3_128,100
129,字谜,功过各一半，打一字,tex_quest_129,边,tex_opt0_129,汞,tex_opt1_129,平,tex_opt2_129,抵,tex_opt3_129,100
130,字谜,居里夫人，打一字,tex_quest_130,姑,tex_opt0_130,镭,tex_opt1_130,丽,tex_opt2_130,屈,tex_opt3_130,100
131,字谜,夫人不在儿做伴，打一字,tex_quest_131,元,tex_opt0_131,兀,tex_opt1_131,开,tex_opt2_131,孤,tex_opt3_131,100
132,字谜,简直不像样，打一字,tex_quest_132,栏,tex_opt0_132,邋,tex_opt1_132,搓,tex_opt2_132,花,tex_opt3_132,100
133,字谜,一半白天一半晚上，打一字,tex_quest_133,明,tex_opt0_133,傍,tex_opt1_133,昌,tex_opt2_133,晨,tex_opt3_133,100
134,字谜,一来就是十天，打一字,tex_quest_134,句,tex_opt0_134,干,tex_opt1_134,早,tex_opt2_134,旦,tex_opt3_134,100
135,字谜,一点一横长，一撇向西方，并排两棵树，栽在石头上，打一字,tex_quest_135,磨,tex_opt0_135,广,tex_opt1_135,应,tex_opt2_135,森,tex_opt3_135,100
136,字谜,独生女，打一字,tex_quest_136,婵,tex_opt0_136,好,tex_opt1_136,奴,tex_opt2_136,妩,tex_opt3_136,100
137,字谜,人人人人人，打一字,tex_quest_137,伍,tex_opt0_137,从,tex_opt1_137,人,tex_opt2_137,众,tex_opt3_137,100
138,字谜,有耳能听到，有口能请教，有心就犯病，有人雷声响，打一字,tex_quest_138,门,tex_opt0_138,口,tex_opt1_138,广,tex_opt2_138,一,tex_opt3_138,100
139,字谜,大于、小于、等于，打一字,tex_quest_139,互,tex_opt0_139,奈,tex_opt1_139,亚,tex_opt2_139,井,tex_opt3_139,100
140,字谜,东边日出西边雨，打一字,tex_quest_140,汩,tex_opt0_140,云,tex_opt1_140,晴,tex_opt2_140,头,tex_opt3_140,100
141,成语谜,穿黑衣者共三人，打一成语,tex_quest_141,乌合之众,tex_opt0_141,三人行,tex_opt1_141,结伴而行,tex_opt2_141,众叛亲离,tex_opt3_141,100
142,成语谜,把守的人先开溜，打一成语,tex_quest_142,望风而逃,tex_opt0_142,兢兢业业,tex_opt1_142,玩忽职守,tex_opt2_142,消极怠工,tex_opt3_142,100
143,成语谜,谁知盘中餐，粒粒皆辛苦，打一成语,tex_quest_143,食不甘味,tex_opt0_143,来之不易,tex_opt1_143,食不知味,tex_opt2_143,口干舌燥,tex_opt3_143,100
144,成语谜,九十九，打一成语,tex_quest_144,百无一是,tex_opt0_144,功亏一篑,tex_opt1_144,九九归一,tex_opt2_144,万中无一,tex_opt3_144,100
145,成语谜,楚辞，打一成语,tex_quest_145,不欢而散,tex_opt0_145,千言万语,tex_opt1_145,语近词冗,tex_opt2_145,悲从中来,tex_opt3_145,100
146,成语谜,0000，打一成语,tex_quest_146,万无一失,tex_opt0_146,百炼成钢,tex_opt1_146,四大皆空,tex_opt2_146,白板,tex_opt3_146,100
147,成语谜,大侠请留步，打一成语,tex_quest_147,高人一等,tex_opt0_147,有何指教,tex_opt1_147,有何贵干,tex_opt2_147,顿足不前,tex_opt3_147,100
148,成语谜,只允许自己说话，打一成语,tex_quest_148,一人得道,tex_opt0_148,自作自受,tex_opt1_148,自言自语,tex_opt2_148,沙特阿婆,tex_opt3_148,100
149,成语谜,白云无尽时，打一成语,tex_quest_149,喋喋不休,tex_opt0_149,居无定所,tex_opt1_149,遥遥无期,tex_opt2_149,无穷无尽,tex_opt3_149,100
150,成语谜,猴子捞月，精卫填海，打一成语,tex_quest_150,落井下石,tex_opt0_150,不自量力,tex_opt1_150,愚公移山,tex_opt2_150,昙花一现,tex_opt3_150,100
151,成语谜,话到嘴边又咽下，打一成语,tex_quest_151,自食其言,tex_opt0_151,口不择言,tex_opt1_151,祸从口出,tex_opt2_151,饥不择食,tex_opt3_151,100
152,成语谜,醉酒搓麻将胜率低，打一成语,tex_quest_152,曲高和寡,tex_opt0_152,白日做梦,tex_opt1_152,鬼话连篇,tex_opt2_152,红中,tex_opt3_152,100
153,成语谜,鼓上蚤一去不复返，打一成语,tex_quest_153,时不再来,tex_opt0_153,偷鸡摸狗,tex_opt1_153,弃恶从善,tex_opt2_153,梁上君子,tex_opt3_153,100
154,成语谜,33，打一成语,tex_quest_154,靡靡之音,tex_opt0_154,十里桃花,tex_opt1_154,尾大不掉,tex_opt2_154,肥头大耳,tex_opt3_154,100
155,成语谜,1000，打一成语,tex_quest_155,漏洞百出,tex_opt0_155,成千上万,tex_opt1_155,一人得道,tex_opt2_155,莫名其妙,tex_opt3_155,100
156,成语谜,七人皆失踪，打一成语,tex_quest_156,化为乌有,tex_opt0_156,迷踪失路,tex_opt1_156,销声匿迹,tex_opt2_156,白雪公主,tex_opt3_156,100
157,成语谜,一百五十分，打一成语,tex_quest_157,时时刻刻,tex_opt0_157,名列前茅,tex_opt1_157,出类拔萃,tex_opt2_157,首屈一指,tex_opt3_157,100
158,成语谜,两个傻子坐不住，打一成语,tex_quest_158,蠢蠢欲动,tex_opt0_158,坐立不安,tex_opt1_158,相顾无言,tex_opt2_158,不知所措,tex_opt3_158,100
159,成语谜,1000的平方＝100x100x100，打一成语,tex_quest_159,千方百计,tex_opt0_159,学以致用,tex_opt1_159,画蛇添足,tex_opt2_159,荡然无存,tex_opt3_159,100
160,成语谜,拜在隐者门下，打一成语,tex_quest_160,师出无名,tex_opt0_160,有名无实,tex_opt1_160,误入歧途,tex_opt2_160,发财,tex_opt3_160,100
161,数学题,小兔子问：我在排队，排在我前面有5个人，我后面的人比前面少2个人，队里总共有几人？,tex_quest_161,8,tex_opt0_161,9,tex_opt1_161,10,tex_opt2_161,7,tex_opt3_161,100
162,数学题,今天钓鱼，钓到了6条没头的，9条没尾的，8条半截的，请问我钓了多少条鱼？,tex_quest_162,0,tex_opt0_162,20,tex_opt1_162,1,tex_opt2_162,10,tex_opt3_162,100
163,数学题,三个孩子吃三个饼要用3分钟，九十个孩子吃九十个饼要用多少时间？,tex_quest_163,3分钟,tex_opt0_163,270分钟,tex_opt1_163,30分钟,tex_opt2_163,90分钟,tex_opt3_163,100
164,数学题,小华的爸爸1分钟可以剪好5只自己的指甲。他在5分钟内可以剪好几只自己的指甲？,tex_quest_164,20,tex_opt0_164,25,tex_opt1_164,5,tex_opt2_164,10,tex_opt3_164,100
165,数学题,小华带50元钱去商店买一个价值38元的小汽车，但售货员只找给他2元钱，这是为什么？,tex_quest_165,因为他付给售货员40元,tex_opt0_165,售货员算错了,tex_opt1_165,售货员临时涨价了,tex_opt2_165,小华还买了其他的东西,tex_opt3_165,100
166,数学题,食堂运回来白菜和萝卜共70筐，萝卜比白菜多18筐，那么，运来白菜和萝卜各多少筐？,tex_quest_166,26、44,tex_opt0_166,18、52,tex_opt1_166,52、18,tex_opt2_166,44、26,tex_opt3_166,100
167,数学题,一个房子4个角，一个角有一只猫，每只猫前面有3只猫，请问房里共有几只猫？,tex_quest_167,4,tex_opt0_167,12,tex_opt1_167,16,tex_opt2_167,8,tex_opt3_167,100
168,数学题,公园的路旁有一排树，每棵树之间相隔3米，请问第一棵树和第六棵树之间相隔多少米？,tex_quest_168,15,tex_opt0_168,18,tex_opt1_168,14,tex_opt2_168,21,tex_opt3_168,100
169,数学题,1元钱可以买一瓶汽水，两个空瓶可以换一瓶汽水，问：你有20元钱，最多可以喝到几瓶汽水？,tex_quest_169,37,tex_opt0_169,20,tex_opt1_169,38,tex_opt2_169,30,tex_opt3_169,100
170,数学题,填空：1、2、4、7、（）、16、22,tex_quest_170,11,tex_opt0_170,10,tex_opt1_170,12,tex_opt2_170,13,tex_opt3_170,100
171,数学题,世界最高峰是珠穆朗玛峰，它的高度是多少？,tex_quest_171,8844.43米,tex_opt0_171,8500米,tex_opt1_171,8000米,tex_opt2_171,9000米,tex_opt3_171,100
172,数学题,6匹马拉着一架大车跑了6里，每匹马跑了多少里？,tex_quest_172,6,tex_opt0_172,1,tex_opt1_172,2,tex_opt2_172,3,tex_opt3_172,100
173,数学题,在两个数2和3之间加个什么记号可以得到一个比2大比3小的数字？,tex_quest_173,.,tex_opt0_173,+,tex_opt1_173,-,tex_opt2_173,*,tex_opt3_173,100
174,数学题,把矩形桌子用刀砍去一角，此时桌子的角有几个？,tex_quest_174,5,tex_opt0_174,4,tex_opt1_174,6,tex_opt2_174,3,tex_opt3_174,100
175,数学题,北京到杭州的火车全程需用15小时，现在火车开了7小时，问它现在在哪里？,tex_quest_175,铁轨上,tex_opt0_175,北京,tex_opt1_175,杭州,tex_opt2_175,天空,tex_opt3_175,100
176,数学题,你参加赛跑，追过第2名，你是第几名？,tex_quest_176,2,tex_opt0_176,1,tex_opt1_176,3,tex_opt2_176,4,tex_opt3_176,100
177,数学题,你参加赛跑，追过最后一名，你是第几名？,tex_quest_177,1,tex_opt0_177,最后一名,tex_opt1_177,2,tex_opt2_177,倒数第二名,tex_opt3_177,100
178,数学题,教室里有9盏灯，关掉了3盏，还剩下几盏？,tex_quest_178,9,tex_opt0_178,6,tex_opt1_178,3,tex_opt2_178,0,tex_opt3_178,100
179,数学题,桌面上点燃了8支蜡烛，吹灭了5支，最后还剩下几支？,tex_quest_179,5,tex_opt0_179,3,tex_opt1_179,8,tex_opt2_179,0,tex_opt3_179,100
180,数学题,三个人三天喝三瓶水，九个人九天喝多少瓶？,tex_quest_180,27,tex_opt0_180,9,tex_opt1_180,3,tex_opt2_180,81,tex_opt3_180,100
181,数学题,被减数、减数和差三个值相加的总和为16，被减数的值是多少？,tex_quest_181,8,tex_opt0_181,4,tex_opt1_181,6,tex_opt2_181,2,tex_opt3_181,100
182,数学题,蒸1个包子是3分钟，蒸3个包子要多少分钟？,tex_quest_182,3,tex_opt0_182,9,tex_opt1_182,1,tex_opt2_182,27,tex_opt3_182,100
183,数学题,7只小羊捉迷藏，已经找到了2只，还有几只没找到？,tex_quest_183,4,tex_opt0_183,5,tex_opt1_183,7,tex_opt2_183,2,tex_opt3_183,100
184,数学题,一口井深8米，青蛙白天爬3米，晚上滑落2米，请问青蛙需要多少天爬出井？,tex_quest_184,6,tex_opt0_184,8,tex_opt1_184,5,tex_opt2_184,7,tex_opt3_184,100
185,数学题,100个包子，100个人吃，1个大人吃3个，3个小孩吃1个，多少个大人和多少小孩刚好能吃完？,tex_quest_185,25个大人，75个小孩,tex_opt0_185,75个大人、25个小孩,tex_opt1_185,50个大人、50个小孩,tex_opt2_185,40个大人、60个小孩,tex_opt3_185,100
186,数学题,老虎与兔子相差10米，老虎跑7步的距离兔子要跑11步，老虎跑3步的时间兔子能跑4步，老虎跑多少米能追上兔子？,tex_quest_186,66,tex_opt0_186,50,tex_opt1_186,32,tex_opt2_186,10,tex_opt3_186,100
187,数学题,如果从3000中减去396，加上393，减去396，加上3936……，如此下去，减去多少次396后结果是0？,tex_quest_187,869,tex_opt0_187,866,tex_opt1_187,789,tex_opt2_187,254,tex_opt3_187,100
188,数学题,一个自然数四舍五入到万位是20万，这个数最大是是多少？,tex_quest_188,204999,tex_opt0_188,200000,tex_opt1_188,200004,tex_opt2_188,200001,tex_opt3_188,100
189,数学题,一个自然数四舍五入到万位是20万，这个数最小是是多少？,tex_quest_189,195000,tex_opt0_189,199999,tex_opt1_189,199995,tex_opt2_189,199990,tex_opt3_189,100
190,数学题,制作20个玩具，合格一个得5元，不合格一个扣2元，未完成的不得不扣，最后得了56元，问不合格的有几个？,tex_quest_190,2,tex_opt0_190,6,tex_opt1_190,12,tex_opt2_190,8,tex_opt3_190,100
191,数学题,制作20个玩具，合格一个得5元，不合格一个扣2元，未完成的不得不扣，最后得了56元，问合格的有几个？,tex_quest_191,12,tex_opt0_191,2,tex_opt1_191,6,tex_opt2_191,8,tex_opt3_191,100
192,数学题,制作20个玩具，合格一个得5元，不合格一个扣2元，未完成的不得不扣，最后得了56元，问未完成的有几个？,tex_quest_192,6,tex_opt0_192,2,tex_opt1_192,12,tex_opt2_192,8,tex_opt3_192,100
193,数学题,我们要把一个钝角三角形切分成若干个小三角形，那么最少要切成几个小的三角形才能保证小三角形全是锐角三角形?,tex_quest_193,7,tex_opt0_193,2,tex_opt1_193,5,tex_opt2_193,9,tex_opt3_193,100
194,数学题,在一条船上有75头牛，有32只羊，问船长的年龄有多大？,tex_quest_194,我TM哪知道,tex_opt0_194,75,tex_opt1_194,32,tex_opt2_194,43,tex_opt3_194,100
