index,sub_type,pos_param,monster_0,monster_1,monster_2,monster_3,item_0,item_1,item_2,item_3,rate_0,rate_1,rate_2,rate_3,count_0,count_1,count_2,count_3
33,1,60219,30473,-1,-1,-1,28910039,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
34,5,60216,30405,30412,-1,-1,28910040,-1,-1,-1,5000,5000,-1,-1,4,-1,-1,-1
35,1,60217,30406,30474,-1,-1,28910041,28911181,-1,-1,5000,10000,-1,-1,3,1,-1,-1
36,1,60218,30413,30472,-1,-1,28910042,28911182,-1,-1,5000,10000,-1,-1,3,1,-1,-1
37,1,60211,30466,-1,-1,-1,28910046,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
38,1,60212,30467,-1,-1,-1,28910047,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
39,1,60214,30469,-1,-1,-1,28910048,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
40,4,60401,30671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
41,4,60402,30672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
42,4,60403,30673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
43,5,60404,30607,30608,-1,-1,28911029,-1,-1,-1,5000,5000,-1,-1,10,-1,-1,-1
44,1,60404,30674,-1,-1,-1,28911030,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
45,1,60406,30676,-1,-1,-1,28911031,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
46,1,60402,30605,30605,-1,-1,28911032,28911033,-1,-1,5000,5000,-1,-1,1,1,-1,-1
47,1,60403,30606,-1,-1,-1,28911033,-1,-1,-1,10000,-1,-1,-1,4,-1,-1,-1
48,4,60412,30704,30705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,-1,-1
49,4,60412,30807,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
50,4,60414,30711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1
51,4,60414,30809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
52,4,60416,30719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
53,4,60416,30811,30812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
54,5,60413,30710,30709,-1,-1,20231024,-1,-1,-1,5000,5000,-1,-1,8,-1,-1,-1
55,1,60413,30808,-1,-1,-1,28911038,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
56,4,60411,30701,30702,30703,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,6,-1
57,4,60411,30806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
58,1,60415,30810,-1,-1,-1,28911042,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
59,1,60216,30471,-1,-1,-1,28910049,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
60,1,60306,30590,-1,-1,-1,28910017,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
61,1,60405,30675,-1,-1,-1,28911028,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
62,4,60504,30910,30911,30912,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,-1
63,1,60504,30979,-1,-1,-1,28911112,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
64,5,60501,30901,30902,-1,-1,28911114,-1,-1,-1,5000,5000,-1,-1,12,-1,-1,-1
65,4,60501,30976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
66,4,60502,30977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
67,4,60503,30978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
68,1,60505,30980,-1,-1,-1,28911115,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
69,3,10,-1,-1,-1,-1,28911116,-1,-1,-1,5000,-1,-1,-1,16,-1,-1,-1
70,1,60601,31106,-1,-1,-1,28911117,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
71,1,60604,31109,-1,-1,-1,28911118,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
72,1,60605,31110,-1,-1,-1,28911119,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
73,1,60602,31107,-1,-1,-1,28911122,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
74,1,60603,31011,-1,-1,-1,28911123,-1,-1,-1,10000,-1,-1,-1,5,-1,-1,-1
75,1,60603,31108,-1,-1,-1,28911124,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
76,1,60606,31008,31012,31015,-1,28911125,28911126,28911127,-1,5000,5000,5000,-1,1,1,1,-1
77,1,60606,31111,-1,-1,-1,28911128,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
78,1,60701,31201,31202,31244,-1,28911177,28911178,28911179,-1,5000,5000,10000,-1,10,10,1,-1
79,1,60703,31247,-1,-1,-1,28911132,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
80,5,60704,31207,31208,31209,-1,28911133,-1,-1,-1,5000,5000,5000,-1,18,-1,-1,-1
81,1,60706,31251,-1,-1,-1,28911134,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
82,1,60707,31255,-1,-1,-1,28911136,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
83,1,60709,31258,-1,-1,-1,28911137,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
84,3,11,-1,-1,-1,-1,28911141,-1,-1,-1,5000,-1,-1,-1,18,-1,-1,-1
85,1,60702,31203,31246,-1,-1,28911142,28911180,-1,-1,4000,10000,-1,-1,5,1,-1,-1
86,1,60704,31248,-1,-1,-1,28911143,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
87,1,60705,31250,-1,-1,-1,28911144,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
88,1,60708,31257,-1,-1,-1,28911145,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
89,4,60710,31259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
90,1,60801,31355,-1,-1,-1,28911146,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
91,1,60803,31357,-1,-1,-1,28911147,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
92,1,60804,31358,-1,-1,-1,28911149,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
93,1,60805,31359,-1,-1,-1,28911150,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
94,1,60806,31361,-1,-1,-1,28911151,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
95,4,60808,31363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
96,1,60801,31304,-1,-1,-1,28911153,-1,-1,-1,5000,-1,-1,-1,6,-1,-1,-1
97,4,60802,31356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
98,5,60806,31343,31344,31345,-1,28911155,-1,-1,-1,5000,5000,5000,-1,15,-1,-1,-1
99,5,60807,31340,31341,31342,-1,28911156,-1,-1,-1,5000,5000,5000,-1,20,-1,-1,-1
100,1,60807,31362,-1,-1,-1,28911157,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
101,4,60809,31364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
102,4,60102,30105,30106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1
103,1,60102,30163,-1,-1,-1,28911159,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
104,5,60104,30109,30110,-1,-1,28911161,-1,-1,-1,10000,10000,-1,-1,3,-1,-1,-1
105,1,60104,30165,-1,-1,-1,28911162,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
106,5,60105,30111,30112,-1,-1,28911165,-1,-1,-1,10000,10000,-1,-1,3,-1,-1,-1
107,1,60105,30166,-1,-1,-1,28911166,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
108,5,60101,30101,30102,30103,30104,28911167,-1,-1,-1,10000,10000,10000,10000,3,-1,-1,-1
109,4,60101,30103,30104,30161,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,-1
110,1,60103,30164,-1,-1,-1,28911169,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
111,4,60201,30361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
112,5,60203,30306,30307,30308,-1,28911170,-1,-1,-1,5000,5000,5000,-1,4,-1,-1,-1
113,4,60204,30365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
114,4,60207,30366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
115,5,60202,30303,30311,-1,-1,28911171,-1,-1,-1,5000,5000,-1,-1,4,-1,-1,-1
116,1,60202,30362,-1,-1,-1,28911172,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
117,4,60203,30364,30363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
118,5,60205,30305,30310,-1,-1,28911173,-1,-1,-1,5000,5000,-1,-1,2,-1,-1,-1
119,1,60205,30368,-1,-1,-1,28911174,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
120,4,60201,30301,30302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,-1,-1
121,4,60204,30304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1
122,1,60206,30367,-1,-1,-1,28911175,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
123,1,60208,30369,-1,-1,-1,28911176,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
124,1,60811,31441,-1,-1,-1,28911184,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
125,1,60812,31401,-1,-1,-1,28911185,-1,-1,-1,10000,-1,-1,-1,8,-1,-1,-1
126,1,60812,31442,-1,-1,-1,28911186,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
127,1,60813,31443,-1,-1,-1,28911187,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
128,4,60814,31444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
129,4,60815,31445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
130,4,60816,31446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
131,1,60817,31447,-1,-1,-1,28911188,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
132,1,60821,31449,-1,-1,-1,28911189,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
133,4,60822,31450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
134,5,60823,31425,31426,-1,-1,28911190,-1,-1,-1,5000,5000,-1,-1,20,-1,-1,-1
135,4,60823,31451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
136,4,60824,31452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
137,4,60825,31454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
138,4,60826,31455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
139,4,60827,31456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
140,4,60831,31502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1
141,1,60831,31538,-1,-1,-1,28911192,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
142,1,60832,31539,-1,-1,-1,28911193,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
143,1,60833,31542,-1,-1,-1,28911194,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
144,4,60834,31541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
145,5,60835,31543,31547,31546,-1,28911195,-1,-1,-1,10000,10000,10000,-1,1,-1,-1,-1
146,5,60836,31544,31548,31545,-1,28911196,-1,-1,-1,10000,10000,10000,-1,1,-1,-1,-1
147,4,60837,31549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
148,1,60841,31540,-1,-1,-1,28911197,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
149,1,60842,31551,-1,-1,-1,28911198,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
150,4,60843,31552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
151,1,60844,31553,-1,-1,-1,28911199,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
152,1,60845,31554,-1,-1,-1,28911200,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
153,1,60851,31526,-1,-1,-1,28911201,-1,-1,-1,5000,-1,-1,-1,10,-1,-1,-1
154,1,60851,31555,-1,-1,-1,28911202,-1,-1,-1,10000,-1,-1,-1,1,-1,-1,-1
155,1,60852,31514,-1,-1,-1,28911203,-1,-1,-1,5000,-1,-1,-1,5,-1,-1,-1
156,4,60852,31557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
157,4,60853,31558,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
158,4,60854,31559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
159,4,60855,31560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
1001,3,15,-1,-1,-1,-1,28911002,-1,-1,-1,100,-1,-1,-1,200,-1,-1,-1
1002,3,16,-1,-1,-1,-1,28911005,-1,-1,-1,100,-1,-1,-1,200,-1,-1,-1
1003,3,14,-1,-1,-1,-1,28911007,-1,-1,-1,100,-1,-1,-1,200,-1,-1,-1
1004,3,12,-1,-1,-1,-1,28911009,28911010,28911011,28911012,25,25,25,25,50,50,50,50
1005,3,14,-1,-1,-1,-1,28911014,-1,-1,-1,100,-1,-1,-1,200,-1,-1,-1
1006,3,13,-1,-1,-1,-1,28911017,28911018,-1,-1,50,50,-1,-1,100,100,-1,-1
1007,3,13,-1,-1,-1,-1,28911021,-1,-1,-1,100,-1,-1,-1,200,-1,-1,-1
1008,3,15,-1,-1,-1,-1,28911024,-1,-1,-1,100,-1,-1,-1,200,-1,-1,-1
1009,3,16,-1,-1,-1,-1,28911027,-1,-1,-1,100,-1,-1,-1,200,-1,-1,-1
1101,4,60001,36445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
1104,4,60011,36448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
2001,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2002,7,60406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2003,7,60505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2004,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2005,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2006,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2007,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2008,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2009,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2010,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2011,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2012,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1
2013,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2014,7,60308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2015,7,60303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2016,7,60302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2017,7,60305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2018,7,60307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2019,7,60304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2020,7,60306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2021,7,60308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1
2022,7,60411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2023,7,60412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2024,7,60401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2025,7,60414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2026,7,60402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2027,7,60404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2028,7,60413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2029,7,60403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2030,7,60405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1
2031,7,60603,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2032,7,60501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2033,7,60502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2034,7,60602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2035,7,60601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2036,7,60504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2037,7,60604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2038,7,60503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2039,7,60605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1
2040,7,60702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2041,7,60701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2042,7,60703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2043,7,60704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2044,7,60705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2045,7,60707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2046,7,60708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2047,7,60709,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2048,7,60706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,-1,-1,-1
2049,7,60901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2050,7,60911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2051,7,60903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2052,7,60921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2053,7,60922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2054,7,60923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2055,7,60912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2056,7,60902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2057,7,60913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,-1,-1,-1
2058,7,60606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2059,7,60601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2060,7,60301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2061,7,60602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2062,7,60501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2063,7,60302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2064,7,60603,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2065,7,60604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2066,7,60303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2067,7,60304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2068,7,60605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2069,7,60701,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2070,7,60501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2071,7,60305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2072,7,60502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2073,7,60702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2074,7,60502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2075,7,60703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2076,7,60504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2077,7,60704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2078,7,60503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2079,7,60306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2080,7,60705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2081,7,60307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2082,7,60503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2083,7,60706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
2084,7,60707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1
