actor_config_id,star,star_item_id,star_item_amount,soul_item_id,soul_item_amount,need_gold
10004,5,20233001,150,20234005,150,10000000
10005,5,20233001,150,20234006,150,10000000
10006,5,20233001,150,20234007,150,10000000
10007,5,20233001,150,20234008,150,10000000
10008,5,20233001,150,20234009,150,10000000
10009,5,20233001,150,20234010,150,10000000
10010,5,20233001,150,20234011,150,10000000
10012,5,20233001,150,20234012,150,10000000
10013,5,20233001,150,20234013,150,10000000
10014,5,20233001,150,20234014,150,10000000
10015,5,20233001,150,20234015,150,10000000
10016,5,20233001,150,20234016,150,10000000
10017,5,20233001,150,20234017,150,10000000
10018,5,20233001,150,20234018,150,10000000
10019,5,20233001,150,20234019,150,10000000
10020,5,20233001,150,20234020,150,10000000
10023,5,20233001,150,20234021,150,10000000
10026,5,20233001,150,20234022,150,10000000
10027,5,20233001,150,20234023,150,10000000
10028,5,20233001,150,20234024,150,10000000
10029,5,20233001,150,20234025,150,10000000
10030,5,20233001,150,20234026,150,10000000
10031,5,20233001,150,20234027,150,10000000
10032,5,20233001,150,20234028,150,10000000
10033,5,20233001,150,20234029,150,10000000
10034,5,20233001,150,20234030,150,10000000
10035,5,20233001,150,20234031,150,10000000
10102,2,20233001,20,20234001,20,10000
10109,2,20233001,20,20234001,20,10000
10113,2,20233001,20,20234001,20,10000
10114,2,20233001,20,20234001,20,10000
10119,2,20233001,20,20234001,20,10000
10123,2,20233001,20,20234001,20,10000
10126,2,20233001,20,20234001,20,10000
10128,2,20233001,20,20234001,20,10000
10133,2,20233001,20,20234001,20,10000
10102,3,20233001,50,20234001,50,100000
10109,3,20233001,50,20234001,50,100000
10113,3,20233001,50,20234001,50,100000
10114,3,20233001,50,20234001,50,100000
10119,3,20233001,50,20234001,50,100000
10123,3,20233001,50,20234001,50,100000
10126,3,20233001,50,20234001,50,100000
10128,3,20233001,50,20234001,50,100000
10133,3,20233001,50,20234001,50,100000
10102,4,20233001,100,20234001,100,1000000
10109,4,20233001,100,20234001,100,1000000
10113,4,20233001,100,20234001,100,1000000
10114,4,20233001,100,20234001,100,1000000
10119,4,20233001,100,20234001,100,1000000
10123,4,20233001,100,20234001,100,1000000
10126,4,20233001,100,20234001,100,1000000
10128,4,20233001,100,20234001,100,1000000
10133,4,20233001,100,20234001,100,1000000
10102,5,20233001,150,20234001,150,10000000
10109,5,20233001,150,20234001,150,10000000
10113,5,20233001,150,20234001,150,10000000
10114,5,20233001,150,20234001,150,10000000
10119,5,20233001,150,20234001,150,10000000
10123,5,20233001,150,20234001,150,10000000
10126,5,20233001,150,20234001,150,10000000
10128,5,20233001,150,20234001,150,10000000
10133,5,20233001,150,20234001,150,10000000

