id,name,desc,effect_path,effect_point,trigger_effect_path,trigger_effect_point,impact_logic,buff_tar_logic.sort_type,buff_tar_logic.target_camp,buff_tar_logic.range,buff_tar_logic.min_count,buff_tar_logic.max_count,buff_tar_logic.area_type,buff_tar_logic.param_1,effect_type,max_layer,mutex_id,priority,last_time,trigger_freq,effect_times,param_type0,param_value0,param_type1,param_value1,param_type2,param_value2,param_type3,param_value3,param_type4,param_value4
18,战斗怒吼,2分内，提高全队攻强35点,res/effect/ay_skill2.effect,0,null,0,continue_level2,0,0,0,0,0,0,0,1,5,18,0,120000,0,0,2,35.0,2,30.0,0,0.0,0,0.0,0,0.0
19,冲锋,令目标晕眩3秒,null,0,null,0,continue_level2,0,0,0,0,0,0,0,1,5,19,0,120000,0,0,2,35.0,2,30.0,0,0.0,0,0.0,0,0.0
100032,撕裂,撕裂流血-兽战,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,100032,0,10000,2000,5,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
100152,烈焰风暴,烈焰风暴灼烧-五火教主,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,100152,0,8000,2000,4,0,0.0,3,7.0,0,0.0,0,0.0,0,0.0
100191,裂伤,裂伤流血-神棍德,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,100191,0,6000,2000,3,0,0.0,1,33.3333333333,0,0.0,0,0.0,0,0.0
100192,重殴,重殴晕眩-神棍德,null,0,null,0,continue_state,0,0,0,0,0,0,0,-1,1,100192,0,3000,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100202,回春术,回春术持续-花花,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,1,1,100202,0,10000,2000,5,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0
100270,暗言术痛,暗言术痛-闭月,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,100270,0,4000,1000,4,0,0.0,3,12.5,0,0.0,0,0.0,0,0.0
20,致死打击,被治疗效果降低50%,res/effect/ay_skill3_buff.effect,2,null,0,be_cure_effect_change,0,0,0,0,0,0,0,-1,1,20,0,6000,0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
1001,持续加血,持续加血,null,0,null,0,pulse_level2,0,0,0,0,0,0,0,1,1,1001,1,5000,1000,5,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
1002,使用：护甲+20%，同一时间只能使用一种合剂，持续12小时,使用：护甲+20%，同一时间只能使用一种合剂，持续12小时,null,11,null,0,,0,0,0,0,0,0,0,1,1,1002,1,43200000,0,0,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0
1003,使用：生命+20%，同一时间只能使用一种合剂，持续12小时,使用：生命+20%，同一时间只能使用一种合剂，持续12小时,null,0,null,0,,0,0,0,0,0,0,0,1,1,1003,1,43200000,0,0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
1004,使用：法强+20%，同一时间只能使用一种合剂，持续12小时,使用：法强+20%，同一时间只能使用一种合剂，持续12小时,null,0,null,0,,0,0,0,0,0,0,0,1,1,1004,1,43200000,0,0,4,20.0,0,0.0,0,0.0,0,0.0,0,0.0
1005,使用：攻强+20%，同一时间只能使用一种合剂，持续12小时,使用：攻强+20%，同一时间只能使用一种合剂，持续12小时,null,0,null,0,,0,0,0,0,0,0,0,1,1,1005,1,43200000,0,0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0
1006,使用：抗性+20%，同一时间只能使用一种合剂，持续12小时,使用：抗性+20%，同一时间只能使用一种合剂，持续12小时,null,0,null,0,,0,0,0,0,0,0,0,1,1,1006,1,43200000,0,0,5,20.0,0,0.0,0,0.0,0,0.0,0,0.0
21,反击风暴,反击50%伤害,res/effect/dz_skill1.effect,0,null,0,strike_back,0,0,0,0,0,0,0,1,1,21,0,15000,0,0,0,0.0,0,0.0,0,50.0,0,0.0,0,0.0
22,电能超载,达到目标层数后直接使用闪电链,null,0,null,0,max_layer_trigger,0,0,0,0,0,0,0,1,1,22,0,8000,0,0,0,0.0,0,0.0,0,200092.0,0,0.0,0,0.0
23,剑刃乱舞,攻击时额外施法一个技能,res/effect/dz_skill1.effect,0,null,0,do_damage_use_skill,0,0,0,0,0,0,0,1,1,23,0,8000,0,0,0,0.0,0,0.0,0,200092.0,0,0.0,0,0.0
24,持续(眩晕)状态,buff存在期间持续保持一个状态,res/effect/sc_skill3_hit.effect,2,null,2,add_status,0,0,0,0,0,0,0,-1,1,24,0,3000,0,0,0,0.0,0,0.0,8,0.0,0,0.0,0,0.0
25,闷棍持续(眩晕)状态,buff存在期间持续保持一个状态,res/effect/sc_skill3_hit.effect,2,null,2,add_status,0,0,0,0,0,0,0,-1,1,25,0,20000,0,0,0,0.0,0,0.0,8,0.0,0,0.0,0,0.0
26,持续伤害,18秒，每3秒，造成一次法术伤害,res/effect/jh_skill1_hit.effect,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,26,0,18000,3000,6,0,0.0,2,30.0,0,0.0,0,0.0,0,0.0
27,持续伤害,3秒，每1秒，造成一次法术伤害,res/effect/jh_skill1_hit.effect,0,null,0,pulse_level2,0,0,0,0,0,0,0,-1,1,27,0,3000,1000,3,0,0.0,2,30.0,0,0.0,0,0.0,0,0.0
28,持续(冰冻)状态,buff存在期间持续保持一个状态,res/effect/sc_skill3_hit.effect,0,null,2,add_status,0,0,0,0,0,0,0,-1,1,28,0,3000,0,0,0,0.0,0,0.0,8,0.0,0,0.0,0,0.0
29,提升暴击,提升暴击5%,null,0,null,0,continue_level2,0,0,0,0,0,0,0,1,5,29,0,120000,0,0,8,5.0,0,0.0,0,0.0,0,0.0,0,0.0
30,降低目标护甲10%,降低目标护甲10%,res/effect/dzh_skill2_buff.effect,0,null,0,continue_level2,0,0,0,0,0,0,0,1,5,30,0,120000,0,0,8,5.0,0,0.0,0,0.0,0,0.0,0,0.0
31,圣光审判,圣光审判(受到伤害时， 给攻击方恢复伤害值20%的生命),null,0,null,0,holy_judge,0,0,0,0,0,0,0,1,1,31,0,5000,0,0,0,0.0,0,0.0,0,0.0,20,0.0,0,0.0
32,神圣护盾,受到伤害时， 给自己恢复伤害值20%的生命,null,0,null,0,damage_trans_cure,0,0,0,0,0,0,0,1,1,32,0,5000,0,0,0,0.0,0,0.0,0,0.0,20,0.0,0,0.0
33,寒冰屏障,被寒冰屏障包围，解除所有异常状态，10秒内无法被任何攻击伤害，同时这段时间也无法攻击和移动，解除后立即释放召唤暴风雪,res/effect/fz_skill2.effect,0,null,2,add_status,0,0,0,0,0,0,0,-1,1,33,0,3000,0,0,0,0.0,0,0.0,8,0.0,0,0.0,0,0.0
34,冰甲术,使用：护甲+20%，受到近战攻击后，使攻击者移动速度降低30%，持续5秒。使你造成的所有冰霜法术有5%的几率令被减速的目标冻结，持续2秒,res/effect/fz_skill3_buff.effect,11,null,0,,0,0,0,0,0,0,0,1,1,34,1,80000,0,0,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0
35,剑刃乱舞,立即获得1个连击点数，提升你的攻击强度，另外还可以对附近的1个额外的敌人造成同等伤害，持续8秒。,res/effect/dz_skill1.effect,11,null,0,,0,0,0,0,0,0,0,1,1,35,1,80000,0,0,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0
36,圣光信标,为生命值最高的友方附加1个圣光信标，10秒内任意治疗法术都会触发圣光信标的圣光术治疗,res/effect/dxj_skill4_buff.effect,2,null,0,damage_trans_cure,0,0,0,0,0,0,0,1,1,36,0,10000,0,0,0,0.0,0,0.0,0,0.0,20,0.0,0,0.0
37,庇护祝福,持续20秒。受到近战攻击时，攻击者会受到一定神圣伤害,res/effect/dxj_skill1.effect,0,null,0,strike_back,0,0,0,0,0,0,0,1,1,37,0,20000,0,0,0,0.0,0,0.0,0,50.0,0,0.0,0,0.0
38,庇护祝福-物防,为生命值最低的友方增加庇护祝福，使其所受到的物理类型的伤害都减少20%，持续20秒。,res/effect/dxj_skill1.effect,0,null,0,magic_armor_to_shield,0,0,0,0,0,0,0,1,1,38,0,20000,0,0,3,20.0,0,0.0,0,0.0,0,0.0,0,0.0
39,庇护祝福-法防,为生命值最低的友方增加庇护祝福，使其所受到的法术类型的伤害都减少20%，持续20秒。,res/effect/dxj_skill1.effect,1,null,0,continue_level2,0,0,0,0,0,0,0,1,1,39,0,8000,0,0,5,20.0,0,0.0,0,0.0,0,0.0,0,0.0
40,寒冰护体,吸收伤害，立即为队友加上魔法护盾，可吸收605点伤害，持续30秒。只要护盾存在，受保护者的施法就不会被物理攻击打断。,res/effect/fz_skill3_buff,1,null,0,magic_armor_to_shield,0,0,0,0,0,0,0,1,1,40,0,3000,0,0,0,0.25,0,0.0,0,0.0,0,0.0,0,0.0
101,冰冻,美屡-冰冻射击,res/effect/ml_skill3_buff.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
102,武装威慑,美屡-武装威慑,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
103,雷霆减速,哀木涕-雷霆一击,res/effect/public_jiansu.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
104,晕眩,哀木涕-冲锋,res/effect/d_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
105,伤害减免,哀木涕-盾墙,res/effect/mt_skill4_dun.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
106,嘲讽,哀木涕-挑战怒吼,res/effect/mt_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
107,流血,兽战-撕裂,res/effect/ay_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
108,流血,兽战-重伤,res/effect/ay_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
109,免疫状态,会长-剑刃风暴,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
110,横扫,会长-横扫攻击,res/effect/hz_skill1.effect,11,res/effect/hz_skill1_hit.effect,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
111,穿刺,会长-穿刺,null,1,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
112,致死抑制治疗,暗夜男-致死打击,res/effect/ay_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
113,反击风暴,暗夜男-反击风暴,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
114,战斗怒吼,暗夜男-战斗怒吼,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,恐惧,沉鱼-破胆怒吼,res/effect/by_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
116,标记-不被斩杀,沉鱼-斩杀,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
117,狂怒,沉鱼-狂怒,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
118,鲁莽,桶牛-鲁莽,res/effect/tn_skill4.effect,11,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
119,晕眩,桶牛-拦截,res/effect/d_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120,嗜血,桶牛-嗜血,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121,破甲,地中海-破甲攻击,res/effect/dzh_skill2_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,沉默,地中海-盾击,res/effect/dzh_skill1_buff2.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
123,破釜沉舟,地中海-破釜沉舟,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
124,闪避增加,地中海-复仇,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
125,冰霜减速,傻馒-冰霜震击,res/effect/public_jiansu.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126,电能,傻馒-电能超载,res/effect/sm_attack1.effect,5,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
127,风怒,炮姐-风怒武器,res/effect/pj_skill1_01.effect,10,res/effect/PJ_Skill1.effect,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
128,闪电盾（特殊）,炮姐-闪电盾,res/effect/pj_skill4.effect,11,res/effect/sm_attack1_hit_big.effect,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
129,减速,冬-震荡射击,res/effect/public_jiansu.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
130,晕眩,冬-震荡射击,res/effect/d_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
131,猎人印记,冬-猎人印记,res/effect/mt_skill3_01.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
132,宠物狂暴,冬-杀戮命令,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
133,雄鹰守护,冬-雄鹰守护,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
134,钉刺,劣人-毒蛇钉刺,res/effect/lr_skill3_buff.effect,1,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
135,假死,劣人-假死,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
136,冰霜减速,方砖-冰锥术,res/effect/public_jiansu.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
137,冰霜减速,方砖-暴风雪,res/effect/public_jiansu.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
138,冰甲,方砖-冰甲术,res/effect/fz_skill3_buff.effect,11,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
139,冰霜减速,方砖-冰甲术,res/effect/public_jiansu.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
140,冰冻,方砖-冰甲术,res/effect/xh_skill3_hit.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
141,寒冰屏障,方砖-寒冰屏障,res/effect/fz_skill2.effect,11,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
142,燃烧,五火教主-烈焰风暴,res/effect/whqjz_skill3_hit.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
143,失明,五火教主-龙息术,res/effect/sc_skill3_hit.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
144,燃烧,五火教主-点燃,res/effect/whqjz_skill3_hit.effect,11,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
145,冰冻,羞花-冰环,res/effect/xh_skill3_hit.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
146,变羊,法丝-变羊术,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
147,沉默,法丝-法术反制,res/effect/fs_skill3.effect,1,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
148,奥术智慧,法丝-奥术智慧,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
149,连击点,女德-连击点,res/effect/sz_skill2.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
150,流血,女德-撕扯,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
151,晕眩,女德-扑击,res/effect/d_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
152,流血,小德-裂伤,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
153,晕眩,小德-重殴,res/effect/d_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
154,狂暴回复,小德-狂暴回复,res/effect/hh_skill3.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
155,嘲讽,小德-挑战咆哮,res/effect/mt_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
156,生命绽放,花花-生命绽放,res/effect/hh_skill1.effect,11,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
157,持续治疗,花花-愈合,res/effect/hh_skill1.effect,11,res/effect/hh_attack1.effect,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
158,腐蚀,娇花-腐蚀术,res/effect/jh_skill1_hit.effect,1,null,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
159,死亡缠绕,娇花-死亡缠绕,res/effect/by_skill1_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
160,救赎之魂,沐丝-救赎之魂,res/effect/dxj_skill4_buff.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
161,痛,闭月-暗言术痛,res/effect/by_attack1.effect,1,res/effect/by_attack1_hit.effect,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
162,恐惧,闭月-心灵尖啸,res/effect/by_skill3_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
163,吸血鬼的拥抱,闭月-吸血鬼的拥抱,res/effect/by_skill4_hit.effect,2,res/effect/BY_Skill4.effect,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
164,瘟疫,闭月-噬灵瘟疫,res/effect/by_skill1_buff.effect,2,res/effect/BY_Skill1.effect,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
165,光明祝福,大小姐-光明祝福,res/effect/dxj_skill4_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
166,圣光审判,大小姐-圣光审判,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
167,标记-不被圣疗,大小姐-圣疗术,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
168,圣光信标,大小姐-圣光信标,res/effect/dxj_skill4_buff.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
169,神圣之盾,圣光棍棍-神圣之盾,res/effect/sggg_skill3.effect,11,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
170,圣盾,圣光棍棍-圣盾术,res/effect/sggg_skill4.effect,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
171,牺牲祝福,圣光棍棍-牺牲祝福,res/effect/sggg_skill1_hit.effect,2,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
172,命令圣印,大大姐-命令圣印,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
173,复仇-攻强提升,大大姐-复仇,res/effect/ddj_skill1.effect,5,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
174,正义审判,老相好-正义审判,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
175,标记-不被斩杀,老相好-愤怒之锤,null,0,null,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
